アフターシェーブローション	after|shave|lotion	AE1_F_T_ER0|SH_EY1_V|L_OW1_SH_AH0_N
レールウェー	railway	R_EY1_L_W_EY2
レールウエー	railway	R_EY1_L_W_EY2
レーズン	raisin	R_EY1_Z_IH0_N
ラポール	rapport	R_AE0_P_AO1_R
ラタン	rattan	R_AE0_T_AE1_N
レディネス	readiness	R_EH1_D_IY0_N_AH0_S
リーム	ream	R_IY1_M
リーズン	reason	R_IY1_Z_AH0_N
リシプロシティー	reciprocity	R_EH2_S_IH0_P_R_AA1_S_IH0_T_IY0
レシプロシティー	reciprocity	R_EH2_S_IH0_P_R_AA1_S_IH0_T_IY0
リフィル	refill	R_IY1_F_IH0_L
レフィル	refill	R_IY1_F_IH0_L
レフレックス	reflex	R_IY1_F_L_EH0_K_S
リフレックス	reflex	R_IY1_F_L_EH0_K_S
リフォーミスト	reformist	R_IH0_F_AO1_R_M_IH0_S_T
ルフラン	refrain	R_IH0_F_R_EY1_N
リライアビリティー	reliability	R_IY0_L_AY2_AH0_B_IH1_L_AH0_T_IY0
レリック	relic	R_EH1_L_IH0_K
リロケーション	relocation	R_IY2_L_OW1_K_EY1_SH_AH0_N
リムーバー	remover	R_IH0_M_UW1_V_ER0
レニン	renin	R_IY1_N_AH0_N
レピート	repeat	R_IH0_P_IY1_T
リプロダクション	reproduction	R_IY2_P_R_AH0_D_AH1_K_SH_AH0_N
リパブリカン	republican	R_IH0_P_AH1_B_L_IH0_K_AH0_N
レザーブ	reserve	R_IH0_Z_ER1_V
レジン	resin	R_EH1_Z_AH0_N
レストア	restoration	R_EH2_S_T_ER0_EY1_SH_AH0_N
リストア	restoration	R_EH2_S_T_ER0_EY1_SH_AH0_N
リテール	retail	R_IY1_T_EY2_L
レチノール	retinol	R_EH1_T_IH0_N_AO2_L
レトリバー	retriever	R_IY0_T_R_IY1_V_ER0
レトリーバー	retriever	R_IY0_T_R_IY1_V_ER0
リトリバー	retriever	R_IY0_T_R_IY1_V_ER0
リトリーバー	retriever	R_IY0_T_R_IY1_V_ER0
レトリーバ	retriever	R_IY0_T_R_IY1_V_ER0
ロドプシン	rhodopsin	R_OW0_D_AA1_P_S_AH0_N
ルバーブ	rhubarb	R_UW1_B_AA2_R_B
リアール	rial	R_AY1_AH0_L
リスキー	risky	R_IH1_S_K_IY0
リバーサイド	riverside	R_IH1_V_ER0_S_AY2_D
ロードスター	roadster	R_OW1_D_S_T_ER0
ロールオーバー	rollover	R_OW1_L_OW2_V_ER0
ロップ	rope	R_OW1_P
ローズウッド	rosewood	R_OW1_Z_W_UH2_D
ロジン	rosin	R_AA1_Z_AH0_N
ロージン	rosin	R_AA1_Z_AH0_N
ラッグ	rug	R_AH1_G
ルイン	ruins	R_UW1_AH0_N_Z
セーフティー	safety	S_EY1_F_T_IY0
セーフティ	safety	S_EY1_F_T_IY0
サッサフラス	sassafras	S_AE1_S_AH0_F_R_AE2_S
ソースパン	saucepan	S_AO1_S_P_AE2_N
ソーサー	saucer	S_AO1_S_ER0
セイボリー	savory	S_EY1_V_ER0_IY0
スキゾフレニア	schizophrenia	S_K_IH2_T_S_AH0_F_R_IY1_N_IY0_AH0
スクールボーイ	schoolboy	S_K_UW1_L_B_OY2
スクールガール	schoolgirl	S_K_UW1_L_G_ER2_L
シザーズ	scissors	S_IH1_Z_ER0_Z
シザース	scissors	S_IH1_Z_ER0_Z
スクループル	scruple	S_K_R_UW1_P_AH0_L
スカッパー	scupper	S_K_AH1_P_ER0
シニオリティー	seniority	S_IY0_N_Y_AO1_R_IH0_T_IY0
セクステット	sextet	S_EH2_K_S_T_EH1_T
シェアクロッパー	sharecropper	SH_EH1_R_K_R_AA2_P_ER0
シャーク	shark	SH_AA1_R_K
シヤー	shear	SH_IH1_R
シープ	sheep	SH_IY1_P
サイマルキャスト	simulcast	S_AY1_M_Y_AH0_L_K_AE2_S_T
スキレット	skillet	S_K_IH1_L_AH0_T
スラグ	slag	S_L_AE1_G
スラップスティック	slapstick	S_L_AE1_P_S_T_IH2_K
スレーキ	sleek	S_L_IY1_K
スライサー	slicer	S_L_AY1_S_ER0
スリッカー	slicker	S_L_IH1_K_ER0
スループ	sloop	S_L_UW1_P
スラッジ	sludge	S_L_AH1_JH
スノーフレーク	snowflake	S_N_OW1_F_L_EY2_K
スナッフ	snuff	S_N_AH1_F
ソーシャル	social	S_OW1_SH_AH0_L
ソシアル	social	S_OW1_SH_AH0_L
ソシャル	social	S_OW1_SH_AH0_L
ソーシャリスト	socialist	S_OW1_SH_AH0_L_IH0_S_T
ソシアリスト	socialist	S_OW1_SH_AH0_L_IH0_S_T
ソーシャリゼーション	socialization	S_OW2_SH_AH0_L_IH0_Z_EY1_SH_AH0_N
ソシオロジー	sociology	S_OW2_S_IY0_AA1_L_AH0_JH_IY0
ソディウム	sodium	S_OW1_D_IY0_AH0_M
ソリダリティー	solidarity	S_AA2_L_AH0_D_EH1_R_AH0_T_IY0
ソーマ	soma	S_OW1_M_AA0
ソマトトロピン	somatotropin	S_OW2_M_AH0_T_AA1_T_R_AH0_P_IH0_N
ソーナー	sonar	S_OW1_N_AA0_R
ソフィスティケート	sophistication	S_AH0_F_IH2_S_T_AH0_K_EY1_SH_AH0_N
ソフィスティケーション	sophistication	S_AH0_F_IH2_S_T_AH0_K_EY1_SH_AH0_N
ソルベ	sorbet	S_AO2_R_B_EY1
スーザフォーン	sousaphone	S_UW1_Z_AH0_F_OW2_N
スパニエル	spaniel	S_P_AE1_N_Y_AH0_L
スピーク	speak	S_P_IY1_K
スピルオーバー	spillover	S_P_IH1_L_OW2_V_ER0
スピナー	spinner	S_P_IH1_N_ER0
スプラッシュ	splash	S_P_L_AE1_SH
スポイラー	spoiler	S_P_OY1_L_ER0
スプレーヤー	sprayer	S_P_R_EY1_ER0
スプロケット	sprocket	S_P_R_AA1_K_AH0_T
スプルース	spruce	S_P_R_UW1_S
スコヤ	square	S_K_W_EH1_R
スタグネーション	stagnation	S_T_AE0_G_N_EY1_SH_AH0_N
ステークス	stakes	S_T_EY1_K_S
スタリオン	stallion	S_T_AE1_L_Y_AH0_N
ステープル	staple	S_T_EY1_P_AH0_L
スターボード	starboard	S_T_AA1_R_B_ER0_D
ステーショナリー	stationery	S_T_EY1_SH_AH0_N_EH2_R_IY0
ステー	stay	S_T_EY1
ステイヤー	stayer	S_T_EY1_ER0
ステーキハウス	steakhouse	S_T_EY1_K_HH_AW2_S
スティープルチェイス	steeplechase	S_T_IY1_P_AH0_L_CH_EY2_S
ステッパー	stepper	S_T_EH1_P_ER0
スティグマ	stigma	S_T_IH1_G_M_AH0
ストイシズム	stoicism	S_T_OW1_AH0_S_IH2_Z_AH0_M
ストップオーバー	stopover	S_T_AA1_P_OW2_V_ER0
ストリームライン	streamline	S_T_R_IY1_M_L_AY2_N
ストリップティーズ	striptease	S_T_R_IH1_P_T_IY2_Z
ストロマ	stroma	S_T_R_OW1_M_AH0
ストラッグル	struggle	S_T_R_AH1_G_AH0_L
スタッコ	stucco	S_T_AH1_K_OW0
スタッド	stud	S_T_AH1_D
サブスクリプション	subscription	S_AH0_B_S_K_R_IH1_P_SH_AH0_N
サフラジェット	suffragette	S_AH2_F_R_AH0_JH_EH1_T
サフラジスト	suffragist	S_AH1_F_R_AH0_JH_IH0_S_T
サニー	sunny	S_AH1_N_IY0
スーパーハイウエー	superhighway	S_UW2_P_ER0_HH_AY1_W_EY2
スーパーモデル	supermodel	S_UW1_P_ER0_M_AA2_D_AH0_L
スーパービジョン	supervision	S_UW2_P_ER0_V_IH1_ZH_AH0_N
サープラス	surplus	S_ER1_P_L_AH0_S
スエー	sway	S_W_EY1
スウェル	swell	S_W_EH1_L
スイムスーツ	swimsuit	S_W_IH1_M_S_UW2_T
シフィリス	syphilis	S_IH1_F_AH0_L_IH0_S
シラップ	syrup	S_ER1_AH0_P
テーブルウエア	tableware	T_EY1_B_AH0_L_W_EH2_R
タフィー	taffy	T_AE1_F_IY0
タルカン	talcum	T_AE1_L_K_AH0_M
タリズマン	talisman	T_AE1_L_IH0_S_M_AH0_N
タリフ	tariff	T_EH1_R_AH0_F
タロット	tarot	T_AE2_R_OW1
ターポン	tarpon	T_AA1_R_P_AH0_N
タート	tart	T_AA1_R_T
タッセル	tassel	T_AE1_S_AH0_L
タキシー	taxi	T_AE1_K_S_IY0
チームメート	teammate	T_IY1_M_EY2_T
チームメイト	teammate	T_IY1_M_EY2_T
テレ	tele	T_EH1_L_IY0
テラー	teller	T_EH1_L_ER0
テルリウム	tellurium	T_EH0_L_UH1_R_IY0_AH0_M
ターミノロジー	terminology	T_ER2_M_IH0_N_AA1_L_AH0_JH_IY0
テスラ	tesla	T_EH1_S_L_AH0
テオクラシー	theocracy	TH_IY0_AA1_K_R_AH0_S_IY0
セオリスト	theorist	TH_IY1_ER0_IH0_S_T
シックナー	thickener	TH_IH1_K_AH0_N_ER0
スレッシャー	thresher	TH_R_EH1_SH_ER0
スリップス	thrips	TH_R_IH1_P_S
タイトロープ	tightrope	T_AY1_T_R_OW2_P
ティラー	tiller	T_IH1_L_ER0
タイトルホルダー	titleholder	T_AY1_T_AH0_L_HH_OW2_L_D_ER0
トゥデー	today	T_AH0_D_EY1
ツデー	today	T_AH0_D_EY1
トーガ	toga	T_OW1_G_AH0
トガ	toga	T_OW1_G_AH0
トッグル	toggle	T_AA1_G_AH0_L
トゥモロー	tomorrow	T_AH0_M_AA1_R_OW2
ツモロー	tomorrow	T_AH0_M_AA1_R_OW2
トゥナイト	tonight	T_AH0_N_AY1_T
トピアリー	topiary	T_OW1_P_IY0_EH2_R_IY0
トピカル	topical	T_AA1_P_AH0_K_AH0_L
トポグラフィー	topography	T_AH0_P_AA1_G_R_AH0_F_IY0
トラジェディー	tragedy	T_R_AE1_JH_AH0_D_IY0
トレイル	trail	T_R_EY1_L
トレール	trail	T_R_EY1_L
トラピーズ	trapeze	T_R_AH0_P_IY1_Z
トラベラー	traveler	T_R_AE1_V_AH0_L_ER0
トレッドミル	treadmill	T_R_EH1_D_M_IH2_L
トリポッド	tripod	T_R_AY1_P_AA2_D
トリプティク	triptych	T_R_IH1_P_T_IH0_K
トリトン	triton	T_R_AY1_T_AH0_N
トリビアル	trivial	T_R_IH1_V_IY0_AH0_L
トラウザーズ	trousers	T_R_AW1_Z_ER0_Z
タフト	tuft	T_AH1_F_T
ターボファン	turbofan	T_ER1_B_OW0_F_AE2_N
ターフ	turf	T_ER1_F
ターメリック	turmeric	T_ER1_M_AH0_R_IH2_K
ターニップ	turnip	T_ER1_N_AH0_P
ターレット	turret	T_ER1_AH0_T
タレット	turret	T_ER1_AH0_T
ユニティー	unity	Y_UW1_N_IH0_T_IY0
アーバニズム	urbanism	ER1_B_AH0_N_IH0_Z_M
ユートピアン	utopian	Y_UW0_T_OW1_P_IY0_AH0_N
バニリン	vanillin	V_AH0_N_IH1_L_IH0_N
ヴァニリン	vanillin	V_AH0_N_IH1_L_IH0_N
ワニリン	vanillin	V_AH0_N_IH1_L_IH0_N
バニティー	vanity	V_AE1_N_AH0_T_IY0
ビヒクル	vehicle	V_IY1_HH_IH0_K_AH0_L
ベネシャン	venetian	V_AH0_N_IY1_SH_AH0_N
バーニヤ	vernier	V_ER1_N_IY0_ER0
バーニア	vernier	V_ER1_N_IY0_ER0
バイス	vise	V_AY1_S
ヴァイス	vise	V_AY1_S
ビクティム	victim	V_IH1_K_T_IH0_M
バイザー	visor	V_AY1_Z_ER0
ビスタ	vista	V_IH1_S_T_AH0
バイタル	vital	V_AY1_T_AH0_L
ウエーファー	wafer	W_EY1_F_ER0
ウェイジ	wage	W_EY1_JH
ウォーク	walk	W_AO1_K
ウオーク	walk	W_AO1_K
ウオー	war	W_AO1_R
ウォーデン	warden	W_AO1_R_D_AH0_N
ワーデン	warden	W_AO1_R_D_AH0_N
ウオーデン	warden	W_AO1_R_D_AH0_N
ウオッシュ	wash	W_AA1_SH
ウオッシャブル	washable	W_AA1_SH_AH0_B_AH0_L
ウオッチャー	watcher	W_AA1_CH_ER0
ウェーバ	weber	W_EH1_B_ER0
ホイールベース	wheelbase	W_IY1_L_B_EY2_S
ウィッチ	witch	W_IH1_CH
ウイッチ	witch	W_IH1_CH
ウッドチップ	woodchip	W_UH1_D_CH_IH2_P
ウッドチャック	woodchuck	W_UH1_D_CH_AH2_K
ウッディー	woody	W_UH1_D_IY0
キセニア	xenia	Z_IY1_N_IY0_AH0
ヤーデージ	yardage	Y_AA1_R_D_IH0_JH
イエスタデー	yesterday	Y_EH1_S_T_ER0_D_EY2
ゼファー	zephyr	Z_EH1_F_ER0
コンフュージョン	confusion	K_AH0_N_F_Y_UW1_ZH_AH0_N
サブスティテュート	substitute	S_AH1_B_S_T_AH0_T_UW2_T
サブスティチュート	substitute	S_AH1_B_S_T_AH0_T_UW2_T
マニュファクチュア	manufacture	M_AE2_N_Y_AH0_F_AE1_K_CH_ER0
マニュファクチャー	manufacture	M_AE2_N_Y_AH0_F_AE1_K_CH_ER0
セクシュアリティ	sexuality	S_EH2_K_SH_UW0_AE1_L_AH0_T_IY0
セクシャリティ	sexuality	S_EH2_K_SH_UW0_AE1_L_AH0_T_IY0
セクシャリティー	sexuality	S_EH2_K_SH_UW0_AE1_L_AH0_T_IY0
セクシュアリティー	sexuality	S_EH2_K_SH_UW0_AE1_L_AH0_T_IY0
センシュアル	sensual	S_EH1_N_SH_AH0_W_AH0_L
インテレクチュアル	intellectual	IH2_N_T_AH0_L_EH1_K_CH_UW0_AH0_L
アンビギュイティ	ambiguity	AE2_M_B_IH0_G_Y_UW1_AH0_T_IY0
フューチュリズム	futurism	F_Y_UW1_CH_ER0_IH2_Z_AH0_M
コングラチュレーション	congratulations	K_AH0_N_G_R_AE2_CH_AH0_L_EY1_SH_AH0_N_Z
グラウンドワーク	groundwork	G_R_AW1_N_D_W_ER2_K
アーティキュレーション	articulation	AA2_R_T_IH0_K_Y_AH0_L_EY1_SH_AH0_N
アーティキュレイション	articulation	AA2_R_T_IH0_K_Y_AH0_L_EY1_SH_AH0_N
アーテキュレイション	articulation	AA2_R_T_IH0_K_Y_AH0_L_EY1_SH_AH0_N
バンヤン	banyan	B_AE1_N_Y_AH0_N
ブリガンチン	brigantine	B_R_IH2_G_AH0_N_T_IY1_N
カピチュレーション	capitulation	K_AH0_P_IH2_CH_AH0_L_EY1_SH_AH0_N
チェアパーソン	chairperson	CH_EH1_R_P_ER2_S_AH0_N
チェアパースン	chairperson	CH_EH1_R_P_ER2_S_AH0_N
コンフェデレーション	confederation	K_AH0_N_F_EH2_D_ER0_EY1_SH_AH0_N
コンシダレーション	consideration	K_AH0_N_S_IH2_D_ER0_EY1_SH_AH0_N
コンストラクション	construction	K_AH0_N_S_T_R_AH1_K_SH_AH0_N
クランポン	crampon	K_R_AE1_M_P_AO0_N
ディコンストラクション	deconstruction	D_IY0_K_AH0_N_S_T_R_AH1_K_SH_AH0_N
デレギュレーション	deregulation	D_IY0_R_EH2_G_Y_AH0_L_EY1_SH_AH0_N
ダイメンション	dimension	D_IH0_M_EH1_N_SH_AH0_N
フラッシュガン	flashgun	F_L_AE1_SH_G_AH0_N
ハイパーインフレーション	hyperinflation	HH_AY2_P_ER0_IH0_N_F_L_EY1_SH_AH0_N
インクライン	incline	IH2_N_K_L_AY1_N
インドクトリネーション	indoctrination	IH2_N_D_AA2_K_T_R_AH0_N_EY1_SH_AH0_N
インサーション	insertion	IH2_N_S_ER1_SH_AH0_N
インターセプション	interception	IH2_N_T_ER0_S_EH1_P_SH_AH0_N
ラインマン	lineman	L_AY1_N_M_AH0_N
ラインメン	linemen	L_AY1_N_M_AH0_N
ポンツーン	pontoon	P_AA0_N_T_UW1_N
リプレゼンテーション	representation	R_EH2_P_R_AH0_Z_EH0_N_T_EY1_SH_AH0_N
リバリュエーション	revaluation	R_IY0_V_AE1_L_Y_UW0_EY1_SH_AH0_N
サンドストーン	sandstone	S_AE1_N_D_S_T_OW2_N
セキュリタイゼーション	securitization	S_IH0_K_Y_UH2_R_AH0_T_AH0_Z_EY1_SH_AH0_N
シューホーン	shoehorn	SH_UW1_HH_AO2_R_N
サブスティテューション	substitution	S_AH2_B_S_T_IH0_T_UW1_SH_AH0_N
サブスティチューション	substitution	S_AH2_B_S_T_IH0_T_UW1_SH_AH0_N
セセッション	secession	S_IH0_S_EH1_SH_AH0_N
インターバンク	interbank	IH2_N_T_ER0_B_AE1_NG_K
バンディング	banding	B_AE1_N_D_IH0_NG
ブレーンウォッシング	brainwashing	B_R_EY1_N_W_AA2_SH_IH0_NG
バンドリング	bundling	B_AH1_N_D_AH0_L_IH0_NG
ディフェンディング	defending	D_IH0_F_EH1_N_D_IH0_NG
ダンプリング	dumpling	D_AH1_M_P_L_IH0_NG
エンバーミング	embalming	EH0_M_B_AA1_M_IH0_NG
ジャンピング	jumping	JH_AH1_M_P_IH0_NG
パンチング	punching	P_AH1_N_CH_IH0_NG
リバランシング	rebalancing	R_IY0_B_AE1_L_AH0_N_S_IH0_NG
リンギング	ringing	R_IH1_NG_IH0_NG
チュービング	tubing	T_UW1_B_IH0_NG
ファンダンゴ	fandango	F_AE0_N_D_AE1_NG_G_OW2
リダンダンシー	redundancy	R_IH0_D_AH1_N_D_AH0_N_S_IY0
コンフィデンシャル	confidential	K_AA2_N_F_AH0_D_EH1_N_SH_AH0_L
ガーンジー	guernsey	G_ER1_N_Z_IY0
ゲルンジー	guernsey	G_ER1_N_Z_IY0
コンティンジェンシー	contingency	K_AH0_N_T_IH1_N_JH_AH0_N_S_IY0
イントレランス	intolerance	IH2_N_T_AA1_L_ER0_AH0_N_S
センテンス	sentence	S_EH1_N_T_AH0_N_S
インクリメンタリズム	incrementalism	IH2_N_K_R_AH0_M_EH1_N_T_AH0_L_IH2_Z_M
インプリンティング	imprinting	IH2_M_P_R_IH1_N_T_IH0_NG
アレインメント	arraignment	ER0_EY1_N_M_AH0_N_T
コンソナント	consonant	K_AA1_N_S_AH0_N_AH0_N_T
エンバイロメント	environment	IH0_N_V_AY1_R_AH0_N_M_AH0_N_T
フィンガープリント	fingerprint	F_IH1_NG_G_ER0_P_R_IH2_N_T
センチメント	sentiment	S_EH1_N_T_AH0_M_AH0_N_T
スチューデント	student	S_T_UW1_D_AH0_N_T
ジェントリー	gentry	JH_EH1_N_T_R_IY0
ジェントリ	gentry	JH_EH1_N_T_R_IY0
グランドスタンド	grandstand	G_R_AE1_N_D_S_T_AE2_N_D
セカンドハンド	secondhand	S_EH1_K_AH0_N_D_HH_AE2_N_D
セコンドハンド	secondhand	S_EH1_K_AH0_N_D_HH_AE2_N_D
アンバンドリング	unbundling	AH0_N_B_AH1_N_D_L_IH0_NG
パリンプセスト	palimpsest	P_AE1_L_IH0_S_EH2_S_T
パランプセスト	palimpsest	P_AE1_L_IH0_S_EH2_S_T
アンビル	anvil	AE1_N_V_AH0_L
アンヴィル	anvil	AE1_N_V_AH0_L
プラグマティスト	pragmatist	P_R_AE1_G_M_AH0_T_IH0_S_T
プラグマチスト	pragmatist	P_R_AE1_G_M_AH0_T_IH0_S_T
ネクローシス	necrosis	N_AH0_K_R_OW1_S_AH0_S
プロングホーン	pronghorn	P_R_AO1_NG_HH_AO2_R_N
ホーボー	hobo	HH_OW1_B_OW0
ホンブルグ	homburg	HH_AA1_M_B_ER0_G
ボノボ	bonobo	B_AA0_N_AA1_B_OW0
ポリティカル	political	P_AH0_L_IH1_T_AH0_K_AH0_L
マカダミア	macadamia	M_AE2_K_AH0_D_EY1_M_IY0_AH0
マニホールド	manifold	M_AE1_N_AH0_F_OW2_L_D
マネタリスト	monetarist	M_AA1_N_AH0_T_ER0_IH0_S_T
ダディー	daddy	D_AE1_D_IY0
ダディ	daddy	D_AE1_D_IY0
マラガ	malaga	M_AE1_L_AH0_G_AH0
マラチオン	malathion	M_AH0_L_AE1_TH_IY0_AO0_N
マリアッチ	mariachi	M_AA2_R_IY0_AA1_CH_IY0
マルカ	markka	M_AA1_R_K_AH0
マルッカ	markka	M_AA1_R_K_AH0
マロー	mallow	M_AE1_L_OW0
ミッシー	missy	M_IH1_S_IY0
ミノキシジル	minoxidil	M_IH0_N_AA1_K_S_IH0_D_IH0_L
メイヤー	mayor	M_EY1_ER0
メドック	medoc	M_EH2_D_AO1_K
メリディアン	meridian	M_ER0_IH1_D_IY0_AH0_N
モンゴリアン	mongolian	M_AA0_NG_G_OW1_L_IY0_AH0_N
ヤーン	yarn	Y_AA1_R_N
ユルト	yurt	Y_UH1_R_T
ラッシャー	rusher	R_AH1_SH_ER0
ラビット	rabbit	R_AE1_B_AH0_T
ランナウェイ	runaway	R_AH1_N_AH0_W_EY2
ランナウエイ	runaway	R_AH1_N_AH0_W_EY2
ランナウェー	runaway	R_AH1_N_AH0_W_EY2
リニュー	renewing	R_IH0_N_UW1_IH0_NG
ルード	rood	R_UW1_D
レイピスト	rapist	R_EY1_P_IH0_S_T
レジェンド	legend	L_EH1_JH_AH0_N_D
レッドネック	redneck	R_EH1_D_N_EH2_K
ボカッ	bop	B_AA1_P
ボカン	bop	B_AA1_P
ムビラ	mbira	M_AH0_B_IH1_R_AH0
ンビラ	mbira	M_AH0_B_IH1_R_AH0
バントゥー	bantu	B_AE1_N_T_UW0
バンツー	bantu	B_AE1_N_T_UW0
エクスプロイテーション	exploitation	EH2_K_S_P_L_OY2_T_EY1_SH_AH0_N
トーラー	torah	T_AO1_R_AH0
ポリビニル	polyvinyl	P_AA2_L_IY0_V_AY1_N_AH0_L
キャリパー	caliper	K_AE1_L_AH0_P_ER0
カリパー	caliper	K_AE1_L_AH0_P_ER0
ディノサウルス	dinosaurs	D_AY1_N_AH0_S_AO2_R_Z
ダイノソー	dinosaur	D_AY1_N_AH0_S_AO2_R
ダイノソア	dinosaur	D_AY1_N_AH0_S_AO2_R
ディノサウル	dinosaur	D_AY1_N_AH0_S_AO2_R
スルーアウト	throughout	TH_R_UW0_AW1_T
ブックストア	bookstore	B_UH1_K_S_T_AO2_R
バルク	bulk	B_AH1_L_K
ヒュレー	hyle	HH_AY1_L
セラピム	seraphim	S_ER2_AA0_F_IY1_M
セラヒン	seraphim	S_ER2_AA0_F_IY1_M
バックラッシュ	backlash	B_AE1_K_L_AE2_SH
マニューバー	maneuver	M_AH0_N_UW1_V_ER0
ニューク	nuke	N_UW1_K
ピクシー	pixie	P_IH1_K_S_IY0
ピグシ	pixie	P_IH1_K_S_IY0
ピスキー	pixie	P_IH1_K_S_IY0
フムス	hummus	HH_UH1_M_AH0_S
フンムス	hummus	HH_UH1_M_AH0_S
リヴァイアサン	leviathan	L_EH0_V_AY1_AH0_TH_AH0_N
リバイアサン	leviathan	L_EH0_V_AY1_AH0_TH_AH0_N
レヴィアタン	leviathan	L_EH0_V_AY1_AH0_TH_AH0_N
レビヤタン	leviathan	L_EH0_V_AY1_AH0_TH_AH0_N
サーマル	thermal	TH_ER1_M_AH0_L
ミツワー	mitzvah	M_IH1_T_S_V_AH0
カト	cat	K_AE1_T
シューシュー	hiss	HH_IH1_S
バラクラバ	balaclava	B_AA2_L_AA0_K_L_AA1_V_AA0
ポラック	pollack	P_AA1_L_AH0_K
ポーンショップ	pawnshop	P_AO1_N_SH_AA2_P
トライフル	trifle	T_R_AY1_F_AH0_L
フットマン	footman	F_UH1_T_M_AH0_N
キャン	yelp	Y_EH1_L_P
シコシコ	chewy	CH_UW1_IY0
カナディアン	canadian	K_AH0_N_EY1_D_IY0_AH0_N
エクスキューショナー	executioner	EH2_K_S_AH0_K_Y_UW1_SH_AH0_N_ER0
ウィケット	wicket	W_IH1_K_AH0_T
グミ	gummi	G_AH1_M_IY0
ギンギン	ecstatic	EH0_K_S_T_AE1_T_IH0_K
アナル	anal	EY1_N_AH0_L
ラージ	large	L_AA1_R_JH
カズワル	cassowary	K_AE1_S_AH0_W_EH2_R_IY0
マルチプレイ	multiplayer	M_AH1_L_T_IY0_P_L_EY2_ER0
マルチプレイヤ	multiplayer	M_AH1_L_T_IY0_P_L_EY2_ER0
ビーチク	nipple	N_IH1_P_AH0_L
アプリケータ	applicator	AE1_P_L_AH0_K_EY2_T_ER0
ツイート	tweet	T_W_IY1_T
ツィート	tweet	T_W_IY1_T
ツイーザーズ	tweezers	T_W_IY1_Z_ER0_Z
フォロワー	follower	F_AA1_L_OW0_ER0
ワーディング	wording	W_ER1_D_IH0_NG
スルタン	sultan	S_AH1_L_T_AH0_N
サルタン	sultan	S_AH1_L_T_AH0_N
リロード	reload	R_IY0_L_OW1_D
インスコ	install	IH2_N_S_T_AO1_L
クリーベッジ	cleavage	K_L_IY1_V_AH0_JH
タンジェリン	tangerine	T_AE2_N_JH_ER0_IY1_N
ビスチェ	bustier	B_AH1_S_T_Y_ER0
ビュスチエ	bustier	B_AH1_S_T_Y_ER0
キャッピング	capping	K_AE1_P_IH0_NG
インバネス	inverness	IH1_N_V_ER0_N_EH2_S
レイティング	rating	R_EY1_T_IH0_NG
ムスタッシュ	mustache	M_AH1_S_T_AE2_SH
セックスレス	sexless	S_EH1_K_S_L_IH0_S
エクストリーム	extreme	IH0_K_S_T_R_IY1_M
シンキング	thinking	TH_IH1_NG_K_IH0_NG
ツーリズム	tourism	T_UH1_R_IH2_Z_AH0_M
ローファー	loafers	L_OW1_F_ER0_Z
ローファ	loafers	L_OW1_F_ER0_Z
ローファーズ	loafers	L_OW1_F_ER0_Z
ホモフォビア	homophobia	HH_OW2_M_AH0_F_OW1_B_IY0_AH0
レジリエンス	resilience	R_IH0_Z_IH1_L_IY0_AH0_N_S
フェール	fail	F_EY1_L
アトラク	attraction	AH0_T_R_AE1_K_SH_AH0_N
フィナンシア	financier	F_IH2_N_AH0_N_S_IY1_R
ハメ	fucking	F_AH1_K_IH0_NG
クラシフィケイション	classification	K_L_AE2_S_AH0_F_AH0_K_EY1_SH_AH0_N
レコグニション	recognition	R_EH2_K_AH0_G_N_IH1_SH_AH0_N
エンタテイメンツ	entertainments	EH2_N_T_ER0_T_EY1_N_M_AH0_N_T_S
コントリビューション	contribution	K_AA2_N_T_R_AH0_B_Y_UW1_SH_AH0_N
ストレイン	strain	S_T_R_EY1_N
ギアボックス	gearbox	G_IH1_R_B_AA2_K_S
アーガット	ergot	ER1_G_AH0_T
アーキオロジー	archaeology	AA2_R_K_IY0_AA1_L_AH0_JH_IY0
アーケオロジー	archaeology	AA2_R_K_IY0_AA1_L_AH0_JH_IY0
アーキテクチャラル	architectural	AA2_R_K_AH0_T_EH1_K_CH_ER0_AH0_L
アーキテクチュラル	architectural	AA2_R_K_AH0_T_EH1_K_CH_ER0_AH0_L
アーキテクチャル	architectural	AA2_R_K_AH0_T_EH1_K_CH_ER0_AH0_L
アーギュー	argue	AA1_R_G_Y_UW0
アークエンジェル	archangels	AA2_R_K_EY1_N_JH_AH0_L_Z
アーゴン	argon	AA1_R_G_AA2_N
アージ	urge	ER1_JH
アージェンシー	urgency	ER1_JH_AH0_N_S_IY0
アージャンシー	urgency	ER1_JH_AH0_N_S_IY0
アージェント	urgent	ER1_JH_AH0_N_T
アージャント	urgent	ER1_JH_AH0_N_T
アージュアス	arduous	AA1_R_JH_UW0_AH0_S
アースリ	earthly	ER1_TH_L_IY0
アースワーム	earthworm	ER1_TH_W_ER2_M
アースン	earthen	ER1_TH_AH0_N
アーセニック	arsenic	AA1_R_S_AH0_N_IH0_K
アーセン	arsenic	AA1_R_S_AH0_N_IH0_K
アーダー	ardor	AA1_R_D_ER0
アーダント	ardent	AA1_R_D_AH0_N_T
アーチステック	artistic	AA0_R_T_IH1_S_T_IH0_K
アーチビショップ	archbishop	AA1_R_CH_B_IH1_SH_AH0_P
アーッ	aah	AA1
アーティキュレット	articulate	AA0_R_T_IH1_K_Y_AH0_L_EY2_T
