アードバーク	aardvark	AA1_R_D_V_AA2_R_K
スウェット	sweat	S_W_EH1_T
スェット	sweat	S_W_EH1_T
スエット	sweat	S_W_EH1_T
スエーター	sweater	S_W_EH1_T_ER0
セーター	sweater	S_W_EH1_T_ER0
セエター	sweater	S_W_EH1_T_ER0
スウェーディッシュ	swedish	S_W_IY1_D_IH0_SH
スウェディッシュ	swedish	S_W_IY1_D_IH0_SH
スイープ	sweep	S_W_IY1_P
スウィープ	sweep	S_W_IY1_P
スィーパー	sweeper	S_W_IY1_P_ER0
スイーパー	sweeper	S_W_IY1_P_ER0
スィート	sweet	S_W_IY1_T
スイート	sweet	S_W_IY1_T
スウィート	sweet	S_W_IY1_T
スイートハート	sweetheart	S_W_IY1_T_HH_AA2_R_T
スウィートハート	sweetheart	S_W_IY1_T_HH_AA2_R_T
スィーティー	sweetie	S_W_IY1_T_IY0
スイーティー	sweetie	S_W_IY1_T_IY0
スウィーティ	sweetie	S_W_IY1_T_IY0
スウィーティー	sweetie	S_W_IY1_T_IY0
スイーツ	sweets	S_W_IY1_T_S
スウィーツ	sweets	S_W_IY1_T_S
スウェル	swell	S_W_EH1_L
スイフト	swift	S_W_IH1_F_T
スイマー	swimmer	S_W_IH1_M_ER0
スイミング	swimming	S_W_IH1_M_IH0_NG
スウィミング	swimming	S_W_IH1_M_IH0_NG
スイムスーツ	swimsuit	S_W_IH1_M_S_UW2_T
スイング	swing	S_W_IH1_NG
スウィング	swing	S_W_IH1_NG
スイングバイ	swing|by	S_W_IH1_NG|B_AY1
スインガー	swinger	S_W_IH1_NG_ER0
スインギング	swinging	S_W_IH1_NG_IH0_NG
スワイプ	swipe	S_W_AY1_P
スイスロール	swiss|roll	S_W_IH1_S|R_OW1_L
スィッチ	switch	S_W_IH1_CH
スイッチ	switch	S_W_IH1_CH
スウィッチ	switch	S_W_IH1_CH
スイッチヒッター	switch|hitter	S_W_IH1_CH|HH_IH1_T_ER0
スイッチドバーチャルサーキット	switched|virtual|circuit	S_W_IH1_CH_T|V_ER1_CH_UW0_AH0_L|S_ER1_K_AH0_T
スイッチドバーチャルパス	switched|virtual|path	S_W_IH1_CH_T|V_ER1_CH_UW0_AH0_L|P_AE1_TH
スイッチャ	switcher	S_W_IH1_CH_ER0
スイッチャー	switcher	S_W_IH1_CH_ER0
スイッチング	switching	S_W_IH1_CH_IH0_NG
スイバル	swivel	S_W_IH1_V_AH0_L
スイベル	swivel	S_W_IH1_V_AH0_L
ソード	sword	S_AO1_R_D
サイベース	sybase	S_AY1_B_EY2_S
シラブル	syllable	S_IH1_L_AH0_B_AH0_L
シラバス	syllabus	S_IH1_L_AH0_B_AH0_S
シルフ	sylph	S_IH1_L_F
シンボル	symbol	S_IH1_M_B_AH0_L
シンボリック	symbolic	S_IH0_M_B_AA1_L_IH0_K
シンボリックス	symbolics	S_IH0_M_B_AA1_L_IH0_K_S
シンボリズム	symbolism	S_IH1_M_B_AH0_L_IH2_Z_AH0_M
シンボライズ	symbolize	S_IH1_M_B_AH0_L_AY2_Z
シンメトリック	symmetric	S_AH0_M_EH1_T_R_IH0_K
シンメトリー	symmetry	S_IH1_M_AH0_T_R_IY0
シンパセティック	sympathetic	S_IH2_M_P_AH0_TH_EH1_T_IH0_K
シンパサイザー	sympathizer	S_IH1_M_P_AH0_TH_AY2_Z_ER0
シンパシー	sympathy	S_IH1_M_P_AH0_TH_IY0
シンフォニック	symphonic	S_IH0_M_F_AA1_N_IH0_K
シンフォニー	symphony	S_IH1_M_F_AH0_N_IY0
シンポジウム	symposium	S_IH0_M_P_OW1_Z_IY0_AH0_M
シナゴーグ	synagogue	S_IH1_N_AH0_G_AO2_G
シナプス	synapse	S_IH1_N_AE0_P_S
シンク	sync	S_IH1_NG_K
シンクロ	synchro	S_IH1_NG_K_R_OW0
シンクロニック	synchronic	S_IH0_NG_K_R_AA1_N_IH0_K
シンクロニシティ	synchronicity	S_IH0_NG_K_R_AH0_N_IH1_S_IH0_T_IY0
シンクロニシティー	synchronicity	S_IH0_NG_K_R_AH0_N_IH1_S_IH0_T_IY0
シンクロナイゼーション	synchronization	S_IH2_NG_K_R_AH0_N_AH0_Z_EY1_SH_AH0_N
シンクロナイゼイション	synchronization	S_IH2_NG_K_R_AH0_N_AH0_Z_EY1_SH_AH0_N
シンクロナイズ	synchronize	S_IH1_NG_K_R_AH0_N_AY2_Z
シンクロナイズド	synchronized	S_IH1_NG_K_R_AH0_N_AY2_Z_D
シンクロナス	synchronous	S_IH1_NG_K_R_AH0_N_AH0_S
シンジケート	syndicate	S_IH1_N_D_IH0_K_AH0_T
シンジケーション	syndication	S_IH2_N_D_IH0_K_EY1_SH_AH0_N
シンドローム	syndrome	S_IH1_N_D_R_OW2_M
シナジー	synergy	S_IH1_N_ER0_JH_IY0
シノニム	synonym	S_IH1_N_AH0_N_IH2_M
シノプシス	synopsis	S_IH0_N_AA1_P_S_IH0_S
シンタクス	syntax	S_IH1_N_T_AE2_K_S
シンタックス	syntax	S_IH1_N_T_AE2_K_S
シンセサイザ	synthesizer	S_IH1_N_TH_AH0_S_AY2_Z_ER0
シンセサイザー	synthesizer	S_IH1_N_TH_AH0_S_AY2_Z_ER0
シフィリス	syphilis	S_IH1_F_AH0_L_IH0_S
ジフィリス	syphilis	S_IH1_F_AH0_L_IH0_S
シリアンハムスター	syrian|hamster	S_IH1_R_IY0_AH0_N|HH_AE1_M_S_T_ER0
シリンジ	syringe	S_ER0_IH1_N_JH
シラップ	syrup	S_ER1_AH0_P
システム	system	S_IH1_S_T_AH0_M
システムアドミニストレーター	system|administrator	S_IH1_S_T_AH0_M|AH0_D_M_IH1_N_IH0_S_T_R_EY2_T_ER0
システムコンポーネント	system|component	S_IH1_S_T_AH0_M|K_AH0_M_P_OW1_N_AH0_N_T
システマチック	systematic	S_IH2_S_T_AH0_M_AE1_T_IH0_K
システマティク	systematic	S_IH2_S_T_AH0_M_AE1_T_IH0_K
システマティック	systematic	S_IH2_S_T_AH0_M_AE1_T_IH0_K
システミック	systemic	S_IH0_S_T_EH1_M_IH0_K
システムズ	systems	S_IH1_S_T_AH0_M_Z
シストリック	systolic	S_IH0_S_T_AO1_L_IH0_K
ティーエー	ta	T_IY2_EY1
タブ	tab	T_AE1_B
タブコントロール	tab|control	T_AE1_B|K_AH0_N_T_R_OW1_L
タバスコ	tabasco	T_AH0_B_AE1_S_K_OW0
タビー	tabby	T_AE1_B_IY0
タブラチュア	tablature	T_AE1_B_L_AH0_CH_ER0
テーブル	table	T_EY1_B_AH0_L
タブロー	tableau	T_AH0_B_L_OW1
テーブルクロス	tablecloth	T_EY1_B_AH0_L_K_L_AO2_TH
テーブルスプーン	tablespoon	T_EY1_B_AH0_L_S_P_UW2_N
タブレット	tablet	T_AE1_B_L_AH0_T
タブレットボタン	tablet|button	T_AE1_B_L_AH0_T|B_AH1_T_AH0_N
テーブルウエア	tableware	T_EY1_B_AH0_L_W_EH2_R
タブロイド	tabloid	T_AE1_B_L_OY0_D
タブー	taboo	T_AE0_B_UW1
タック	tack	T_AE1_K
タッキング	tacking	T_AE1_K_IH0_NG
タックル	tackle	T_AE1_K_AH0_L
タコス	tacos	T_AA1_K_OW0_Z
タクティック	tactic	T_AE1_K_T_IH0_K
タクティックス	tactics	T_AE1_K_T_IH0_K_S
ターフル	tafel	T_AE1_F_AH0_L
タフタ	taffeta	T_AE1_F_AH0_T_AH0
タフィー	taffy	T_AE1_F_IY0
タグ	tag	T_AE1_G
タッグ	tag	T_AE1_G
タガログ	tagalog	T_AE1_G_AH0_L_AA2_G
タギング	tagging	T_AE1_G_IH0_NG
テール	tail	T_EY1_L
テイル	tail	T_EY1_L
テーラー	tailor	T_EY1_L_ER0
テイラー	tailor	T_EY1_L_ER0
テーラーメード	tailor|made	T_EY1_L_ER0|M_EY1_D
テーラーメイド	tailor|made	T_EY1_L_ER0|M_EY1_D
テーラード	tailored	T_EY1_L_ER0_D
テイント	taint	T_EY1_N_T
タジキスタン	tajikistan	T_AA2_JH_IY1_K_IH0_S_T_AE2_N
テーク	take	T_EY1_K
テイク	take	T_EY1_K
テークオフ	take|off	T_EY1_K|AO1_F
テイクオフ	take|off	T_EY1_K|AO1_F
テークアウト	take|out	T_EY1_K|AW1_T
テイクアウト	take|out	T_EY1_K|AW1_T
テークオーバー	take|over	T_EY1_K|OW1_V_ER0
テイクオーバー	take|over	T_EY1_K|OW1_V_ER0
テークオーバービッド	take|over|bid	T_EY1_K|OW1_V_ER0|B_IH1_D
テイクオーバービッド	take|over|bid	T_EY1_K|OW1_V_ER0|B_IH1_D
タルク	talc	T_AE1_L_K
タルカン	talcum	T_AE1_L_K_AH0_M
タレント	talent	T_AE1_L_AH0_N_T
ターリバーン	taliban	T_AE1_L_IH0_B_AE2_N
タリバーン	taliban	T_AE1_L_IH0_B_AE2_N
タリバン	taliban	T_AE1_L_IH0_B_AE2_N
タリスマン	talisman	T_AE1_L_IH0_S_M_AH0_N
タリズマン	talisman	T_AE1_L_IH0_S_M_AH0_N
トーク	talk	T_AO1_K
トーカブル	talkable	T_AO1_K_AH0_B_AH0_L
トーキ	talkie	T_AO1_K_IY0
トーキー	talkie	T_AO1_K_IY0
タロウ	tallow	T_AE1_L_OW0
タリー	tally	T_AE1_L_IY0
タルムード	talmud	T_AE1_L_M_AH0_D
タムタム	tam|tam	T_AE1_M|T_AE1_M
タマリン	tamarin	T_AE1_M_ER0_AH0_N
タンバリン	tambourine	T_AE2_M_B_ER0_IY1_N
タミル	tamil	T_AH0_M_IH1_L
タモキシフェン	tamoxifen	T_AE2_M_AA1_K_S_AH0_F_AH0_N
タンパー	tamper	T_AE1_M_P_ER0
タンポン	tampon	T_AE1_M_P_AA0_N
タン	tan	T_AE1_N
タンデム	tandem	T_AE1_N_D_AH0_M
タンジェント	tangent	T_AE1_N_JH_AH0_N_T
タンゼント	tangent	T_AE1_N_JH_AH0_N_T
タンジェリン	tangerine	T_AE2_N_JH_ER0_IY1_N
タンジブル	tangible	T_AE1_N_JH_AH0_B_AH0_L
タンゴ	tango	T_AE1_NG_G_OW0
タンク	tank	T_AE1_NG_K
タンクローリ	tank|lorry	T_AE1_NG_K|L_AO1_R_IY0
タンクローリー	tank|lorry	T_AE1_NG_K|L_AO1_R_IY0
タンカー	tanker	T_AE1_NG_K_ER0
タンナー	tanner	T_AE1_N_ER0
タンタラム	tantalum	T_AE1_N_T_AH0_L_AH0_M
タンザニア	tanzania	T_AE0_N_Z_EY1_N_IY0_AH0
タップ	tap	T_AE1_P
タパス	tapas	T_AH1_P_AH0_S
テープ	tape	T_EY1_P
テープヒス	tape|hiss	T_EY1_P|HH_IH1_S
テープレコーダー	tape|recorder	T_EY1_P|R_IH0_K_AO1_R_D_ER0
テーパー	taper	T_EY1_P_ER0
テーパールドスラックス	tapered|slacks	T_EY1_P_ER0_D|S_L_AE1_K_S
テーピング	taping	T_EY1_P_IH0_NG
タール	tar	T_AA1_R
タランチュラ	tarantula	T_AH0_R_AE1_N_CH_UW0_L_AH0
ターゲット	target	T_AA1_R_G_AH0_T
ターゲティング	targeting	T_AA1_R_G_AH0_T_IH0_NG
タリフ	tariff	T_EH1_R_AH0_F
タロット	tarot	T_AE2_R_OW1
タープ	tarp	T_AA1_R_P
ターポン	tarpon	T_AA1_R_P_AH0_N
タート	tart	T_AA1_R_T
タータン	tartan	T_AA1_R_T_AH0_N
タルタル	tartar	T_AA1_R_T_ER0
タルト	tarte	T_AA1_R_T
タシケント	tashkent	T_AE2_SH_K_EH1_N_T
タシュケント	tashkent	T_AE2_SH_K_EH1_N_T
タスク	task	T_AE1_S_K
タスクフォース	task|force	T_AE1_S_K|F_AO1_R_S
タスマニア	tasmania	T_AE2_Z_M_EY1_N_IY0_AH0
タスマニヤ	tasmania	T_AE2_Z_M_EY1_N_IY0_AH0
タッセル	tassel	T_AE1_S_AH0_L
テースト	taste	T_EY1_S_T
テイスト	taste	T_EY1_S_T
タトゥー	tattoo	T_AE2_T_UW1
トーラス	taurus	T_AO1_R_AH0_S
タックス	tax	T_AE1_K_S
タキシー	taxi	T_AE1_K_S_IY0
タクシー	taxi	T_AE1_K_S_IY0
タキシング	taxiing	T_AE1_K_S_IY0_IH0_NG
タクシーイング	taxiing	T_AE1_K_S_IY0_IH0_NG
タクシング	taxiing	T_AE1_K_S_IY0_IH0_NG
トビリシ	tbilisi	T_AH0_B_IH0_L_IY1_S_IY0
チャイコフスキー	tchaikovsky	CH_EY2_K_AA1_V_S_K_IY0
ティ	tea	T_IY1
ティー	tea	T_IY1
ティーチイン	teach|in	T_IY1_CH|IH0_N
ティーチャ	teacher	T_IY1_CH_ER0
ティーチャー	teacher	T_IY1_CH_ER0
ティーチング	teaching	T_IY1_CH_IH0_NG
ティーカップ	teacup	T_IY1_K_AH2_P
チーク	teak	T_IY1_K
チーム	team	T_IY1_M
ティーム	team	T_IY1_M
チーマー	teamer	T_IY1_M_ER0
チーミング	teaming	T_IY1_M_IH0_NG
チームメート	teammate	T_IY1_M_EY2_T
チームメイト	teammate	T_IY1_M_EY2_T
チームワーク	teamwork	T_IY1_M_W_ER2_K
ティーポット	teapot	T_IY1_P_AA2_T
ティーザー	teaser	T_IY1_Z_ER0
ティザー	teaser	T_IY1_Z_ER0
ティースプーン	teaspoon	T_IY1_S_P_UW2_N
テアトロ	teatro	T_IY1_T_R_OW0
テク	tech	T_EH1_K
テクニカル	technical	T_EH1_K_N_IH0_K_AH0_L
テクニカルノックアウト	technical|knockout	T_EH1_K_N_IH0_K_AH0_L|N_AA1_K_AW2_T
テクニシャン	technician	T_EH0_K_N_IH1_SH_AH0_N
テクニカラー	technicolor	T_EH1_K_N_IH0_K_AH2_L_ER0
テクニクス	technics	T_EH1_K_N_IH0_K_S
テクニーク	technique	T_EH0_K_N_IY1_K
テクニック	technique	T_EH0_K_N_IY1_K
テクノ	techno	T_EH1_K_N_OW0
テクノインダストリアル	techno|industrial	T_EH1_K_N_OW0|IH2_N_D_AH1_S_T_R_IY0_AH0_L
テクノパーク	techno|park	T_EH1_K_N_OW0|P_AA1_R_K
テクノポップ	techno|pop	T_EH1_K_N_OW0|P_AA1_P
テクノサイエンス	techno|science	T_EH1_K_N_OW0|S_AY1_AH0_N_S
テクノストレス	techno|stress	T_EH1_K_N_OW0|S_T_R_EH1_S
テクノクラート	technocrat	T_EH1_K_N_AH0_K_R_AE2_T
テクノロジズ	technologies	T_EH0_K_N_AA1_L_AH0_JH_IY0_Z
テクノロジ	technology	T_EH0_K_N_AA1_L_AH0_JH_IY0
テクノロジー	technology	T_EH0_K_N_AA1_L_AH0_JH_IY0
テクトニクス	tectonics	T_EH0_K_T_AA1_N_IH0_K_S
テディー	teddy	T_EH1_D_IY0
ティーン	teen	T_IY1_N
ティーンエージ	teenage	T_IY1_N_EY2_JH
ティーンエイジ	teenage	T_IY1_N_EY2_JH
ティーンエージャ	teenager	T_IY1_N_EY2_JH_ER0
ティーンエージャー	teenager	T_IY1_N_EY2_JH_ER0
ティーンエイジャ	teenager	T_IY1_N_EY2_JH_ER0
ティーンエイジャー	teenager	T_IY1_N_EY2_JH_ER0
ティーンズ	teens	T_IY1_N_Z
テフロン	teflon	T_EH1_F_L_AH0_N
テグシガルパ	tegucigalpa	T_EH0_G_UW0_S_IY0_G_AE1_L_P_AH0
テルアビブ	tel|aviv	T_EH1_L|AA0_V_IY1_V
テレ	tele	T_EH1_L_IY0
テレキャスト	telecast	T_EH1_L_AH0_K_AE2_S_T
テレコム	telecom	T_EH1_L_AH0_K_AA0_M
テレコミュニケーション	telecommunication	T_EH2_L_AH0_K_AH0_M_Y_UW2_N_IH0_K_EY1_SH_AH0_N
テレコミューティング	telecommuting	T_EH0_L_AH0_K_AH0_M_Y_UW1_T_IH0_NG
テレカンファレンス	teleconference	T_EH2_L_AH0_K_AA1_N_F_R_AH0_N_S
テレコンファレンス	teleconference	T_EH2_L_AH0_K_AA1_N_F_R_AH0_N_S
テレジェニック	telegenic	T_EH2_L_AH0_JH_EH1_N_IH0_K
テレグラフ	telegraph	T_EH1_L_AH0_G_R_AE2_F
テレマーケター	telemarketer	T_EH2_L_AH0_M_AA1_R_K_IH0_T_ER0
テレマーケティング	telemarketing	T_EH2_L_AH0_M_AA1_R_K_AH0_T_IH0_NG
テレメディスン	telemedicine	T_EH2_L_IH0_M_EH1_D_IH0_S_AH0_N
テレメデシン	telemedicine	T_EH2_L_IH0_M_EH1_D_IH0_S_AH0_N
テレメトリ	telemetry	T_AH0_L_EH1_M_AH0_T_R_IY0
テレメトリー	telemetry	T_AH0_L_EH1_M_AH0_T_R_IY0
テレパシー	telepathy	T_AH0_L_EH1_P_AH0_TH_IY0
テレフォン	telephone	T_EH1_L_AH0_F_OW2_N
テレホン	telephone	T_EH1_L_AH0_F_OW2_N
テレホンアポイントメント	telephone|appointment	T_EH1_L_AH0_F_OW2_N|AH0_P_OY1_N_T_M_AH0_N_T
テレホンカード	telephone|card	T_EH1_L_AH0_F_OW2_N|K_AA1_R_D
テレホンキャッシング	telephone|cashing	T_EH1_L_AH0_F_OW2_N|K_AE1_SH_IH0_NG
テレホンマーケチング	telephone|marketing	T_EH1_L_AH0_F_OW2_N|M_AA1_R_K_AH0_T_IH0_NG
テレホンセックス	telephone|sex	T_EH1_L_AH0_F_OW2_N|S_EH1_K_S
テレフォニー	telephony	T_EH1_L_AH0_F_OW2_N_IY0
テレポート	teleport	T_EH1_L_AH0_P_AO1_R_T
テレプロンプター	teleprompter	T_EH1_L_AH0_P_R_AA2_M_P_T_ER0
テレスコープ	telescope	T_EH1_L_AH0_S_K_OW2_P
テレテキスト	teletext	T_EH1_L_AH0_T_EH1_K_S_T
テレソン	telethon	T_EH1_L_AH0_TH_AA0_N
テレタイプ	teletype	T_EH1_L_AH0_T_AY2_P
テレヴィジョン	television	T_EH1_L_AH0_V_IH2_ZH_AH0_N
テレビジョン	television	T_EH1_L_AH0_V_IH2_ZH_AH0_N
テレビジョンコンティニュイティー	television|continuity	T_EH1_L_AH0_V_IH2_ZH_AH0_N|K_AA2_N_T_AH0_N_UW1_AH0_T_IY0
テレビジョンドアホン	television|door|phone	T_EH1_L_AH0_V_IH2_ZH_AH0_N|D_AO1_R|F_OW1_N
テレビジョンショップ	television|shop	T_EH1_L_AH0_V_IH2_ZH_AH0_N|SH_AA1_P
テレックス	telex	T_EH1_L_EH2_K_S
テル	tell	T_EH1_L
テラー	teller	T_EH1_L_ER0
テルリド	telluride	T_EH1_L_Y_ER0_AY2_D
テルリウム	tellurium	T_EH0_L_UH1_R_IY0_AH0_M
テロメラーゼ	telomerase	T_AH0_L_OW1_M_ER0_EY2_Z
テロメア	telomere	T_EH1_L_AH0_M_IY0_R
テルスター	telstar	T_EH1_L_S_T_AA2_R
テンパー	temper	T_EH1_M_P_ER0
テンプレート	template	T_EH1_M_P_L_AH0_T
テンプル	temple	T_EH1_M_P_AH0_L
テンポ	tempo	T_EH1_M_P_OW2
テンポラリ	temporary	T_EH1_M_P_ER0_EH2_R_IY0
テンポラリー	temporary	T_EH1_M_P_ER0_EH2_R_IY0
テンプテーション	temptation	T_EH0_M_T_EY1_SH_AH0_N
テンモード	ten|mode	T_EH1_N|M_OW1_D
テナント	tenant	T_EH1_N_AH0_N_T
テンデンシー	tendency	T_EH1_N_D_AH0_N_S_IY0
タンダー	tender	T_EH1_N_D_ER0
テンダー	tender	T_EH1_N_D_ER0
テンダーロイン	tenderloin	T_EH1_N_D_ER0_L_OY2_N
テンダロイン	tenderloin	T_EH1_N_D_ER0_L_OY2_N
テンダーネス	tenderness	T_EH1_N_D_ER0_N_AH0_S
テネシー	tennessee	T_EH2_N_AH0_S_IY1
テニス	tennis	T_EH1_N_AH0_S
テニスウェア	tennis|wear	T_EH1_N_AH0_S|W_EH1_R
テナー	tenor	T_EH1_N_ER0
テノール	tenor	T_EH1_N_ER0
テンス	tense	T_EH1_N_S
テンション	tension	T_EH1_N_SH_AH0_N
テンソル	tensor	T_EH1_N_S_ER0
テント	tent	T_EH1_N_T
テキーラ	tequila	T_AH0_K_IY1_L_AH0
テラバイト	terabyte	T_EH2_R_AH0_B_AY1_T
テレビン	terebene	T_ER1_R_AH0_B_IH0_N
テレピン	terebene	T_ER1_R_AH0_B_IH0_N
ターム	term	T_ER1_M
ターミナル	terminal	T_ER1_M_IH0_N_AH0_L
ターミネータ	terminator	T_ER1_M_IH0_N_EY2_T_ER0
ターミネーター	terminator	T_ER1_M_IH0_N_EY2_T_ER0
ターミネイタ	terminator	T_ER1_M_IH0_N_EY2_T_ER0
ターミノロジー	terminology	T_ER2_M_IH0_N_AA1_L_AH0_JH_IY0
テラロッサ	terra|rossa	T_EH1_R_AA2|R_OW1_S_AH0
テラス	terrace	T_EH1_R_AH0_S
テレストリアル	terrestrial	T_ER0_EH1_S_T_R_IY0_AH0_L
テリブル	terrible	T_EH1_R_AH0_B_AH0_L
テリア	terrier	T_EH1_R_IY0_ER0
テリトリー	territory	T_EH1_R_IH0_T_AO2_R_IY0
テロ	terror	T_EH1_R_ER0
テロル	terror	T_EH1_R_ER0
テロリズム	terrorism	T_EH1_R_AH0_R_IH2_Z_AH0_M
テロリスト	terrorist	T_EH1_R_AH0_R_IH0_S_T
テスラ	tesla	T_EH1_S_L_AH0
テスト	test	T_EH1_S_T
テストメール	test|mail	T_EH1_S_T|M_EY1_L
テストプレイ	test|play	T_EH1_S_T|P_L_EY1
テストセット	test|set	T_EH1_S_T|S_EH1_T
テスタメント	testament	T_EH1_S_T_AH0_M_AH0_N_T
テスター	tester	T_EH1_S_T_ER0
テスティング	testing	T_EH1_S_T_IH0_NG
テストステロン	testosterone	T_EH2_S_T_AA1_S_T_ER0_OW2_N
テト	tet	T_EH1_T
テタヌス	tetanus	T_EH1_T_AH0_N_AH0_S
テックス	tex	T_EH1_K_S
テキサス	texas	T_EH1_K_S_AH0_S
テキスト	text	T_EH1_K_S_T
テクスト	text	T_EH1_K_S_T
テキストイメー	text|image	T_EH1_K_S_T|IH1_M_AH0_JH
テキストブック	textbook	T_EH1_K_S_T_B_UH2_K
テキスタイル	textile	T_EH1_K_S_T_AY2_L
テクスタイル	textile	T_EH1_K_S_T_AY2_L
テキスチャ	texture	T_EH1_K_S_CH_ER0
テクスチャ	texture	T_EH1_K_S_CH_ER0
テクスチャー	texture	T_EH1_K_S_CH_ER0
テクスチュア	texture	T_EH1_K_S_CH_ER0
テクスチャード	textured	T_EH1_K_S_CH_ER0_D
タイスキ	thai|suki	T_AY1|S_UW1_K_IY0
サリドマイド	thalidomide	TH_AH0_L_IH1_D_AH0_M_AY2_D
タリウム	thallium	TH_AE1_L_IY0_AH0_M
サナトロジー	thanatology	TH_AE0_N_AH0_T_AO1_L_AH0_JH_IY0
タナトロジー	thanatology	TH_AE0_N_AH0_T_AO1_L_AH0_JH_IY0
サンキュ	thank|you	TH_AE1_NG_K|Y_UW1
サンキュー	thank|you	TH_AE1_NG_K|Y_UW1
センキュ	thank|you	TH_AE1_NG_K|Y_UW1
センキュー	thank|you	TH_AE1_NG_K|Y_UW1
サッチャーイズム	thatcherism	TH_AE1_CH_ER0_IH2_Z_AH0_M
サッチャリズム	thatcherism	TH_AE1_CH_ER0_IH2_Z_AH0_M
ザッツ	that's	DH_AE1_T_S
ザ	the	DH_AH0
シアター	theater	TH_IY1_EY0_T_ER0
テアトル	theatre	TH_IY1_AH0_T_ER0
シアトリカル	theatrical	TH_IY0_AE1_T_R_IH0_K_AH0_L
テイン	thein	TH_AY1_N
テマ	theme	TH_IY1_M
テオクラシー	theocracy	TH_IY0_AA1_K_R_AH0_S_IY0
セオレティカル	theoretical	TH_IY2_ER0_EH1_T_IH0_K_AH0_L
セオレテイカル	theoretical	TH_IY2_ER0_EH1_T_IH0_K_AH0_L
セオリスト	theorist	TH_IY1_ER0_IH0_S_T
セオリー	theory	TH_IH1_R_IY0
セラピスト	therapist	TH_EH1_R_AH0_P_IH0_S_T
セラピー	therapy	TH_EH1_R_AH0_P_IY0
サーム	therm	TH_ER1_M
サーマル	thermal	TH_ER1_M_AH0_L
サーモメータ	thermometer	TH_ER0_M_AA1_M_AH0_T_ER0
サーモメーター	thermometer	TH_ER0_M_AA1_M_AH0_T_ER0
サーモス	thermos	TH_ER1_M_AH0_S
サーモスタット	thermostat	TH_ER1_M_AH0_S_T_AE2_T
シソーラス	thesaurus	TH_AH0_S_AO1_R_AH0_S
テーゼ	these	DH_IY1_Z
シックナー	thickener	TH_IH1_K_AH0_N_ER0
シーフ	thief	TH_IY1_F
シンブル	thimble	TH_IH1_M_B_AH0_L
シン	thin	TH_IH1_N
シンク	think	TH_IH1_NG_K
シンキング	thinking	TH_IH1_NG_K_IH0_NG
シンクパッド	thinkpad	TH_IH1_NG_K_P_AE2_D
シンナー	thinner	TH_IH1_N_ER0
サード	third	TH_ER1_D
サーティーン	thirteen	TH_ER1_T_IY1_N
サーティーンス	thirteenth	TH_ER1_T_IY1_N_TH
サーティ	thirty	TH_ER1_D_IY2
サーティー	thirty	TH_ER1_D_IY2
トリウム	thorium	TH_AA1_R_IY0_AH0_M
サラブレッド	thoroughbred	TH_ER1_OW0_B_R_EH1_D
サウザンド	thousand	TH_AW1_Z_AH0_N_D
スレッド	thread	TH_R_EH1_D
スレッドフィンスキャット	threadfin|scat	TH_R_EH1_D_F_IH0_N|S_K_AE1_T
スリー	three	TH_R_IY1
スリーピース	three|piece	TH_R_IY1|P_IY1_S
スリークォータ	three|quarter	TH_R_IY1|K_W_AO1_R_T_ER0
スリークォーター	three|quarter	TH_R_IY1|K_W_AO1_R_T_ER0
スリークオーター	three|quarter	TH_R_IY1|K_W_AO1_R_T_ER0
スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
スリーラン	three|run	TH_R_IY1|R_AH1_N
スレッシャー	thresher	TH_R_EH1_SH_ER0
スリフト	thrift	TH_R_IH1_F_T
スリル	thrill	TH_R_IH1_L
スリラー	thriller	TH_R_IH1_L_ER0
スリリング	thrilling	TH_R_IH1_L_IH0_NG
スリップス	thrips	TH_R_IH1_P_S
スロート	throat	TH_R_OW1_T
スロットル	throttle	TH_R_AA1_T_AH0_L
スルー	through	TH_R_UW1
スルーアウト	throughout	TH_R_UW0_AW1_T
スループット	throughput	TH_R_UW1_P_UH2_T
スロー	throw	TH_R_OW1
スローイン	throw|in	TH_R_OW1|IH0_N
スローイング	throwing	TH_R_OW1_IH0_NG
スラスト	thrust	TH_R_AH1_S_T
スラスター	thruster	TH_R_AH1_S_T_ER0
サミング	thumbing	TH_AH1_M_IH0_NG
サムネ	thumbnail	TH_AH1_M_N_EY2_L
サムネール	thumbnail	TH_AH1_M_N_EY2_L
サムネイル	thumbnail	TH_AH1_M_N_EY2_L
サムズアップ	thumbs|up	TH_AH1_M_Z|AH1_P
サンダー	thunder	TH_AH1_N_D_ER0
サンダーバード	thunderbird	TH_AH1_N_D_ER0_B_ER2_D
サーズデー	thursday	TH_ER1_Z_D_EY2
シ	ti	T_IY1
ティアラ	tiara	T_IY0_AA1_R_AH0
チベット	tibet	T_AH0_B_EH1_T
チック	tic	T_IH1_K
ティック	tick	T_IH1_K
チクタク	tick|tock	T_IH1_K|T_AA1_K
チックタック	tick|tock	T_IH1_K|T_AA1_K
チッカー	ticker	T_IH1_K_ER0
ティッカー	ticker	T_IH1_K_ER0
チケット	ticket	T_IH1_K_AH0_T
ティケット	ticket	T_IH1_K_AH0_T
テケツ	ticket	T_IH1_K_AH0_T
チケットレス	ticketless	T_IH1_K_AH0_T_L_AH0_S
タイダル	tidal	T_AY1_D_AH0_L
タイド	tide	T_AY1_D
タイ	tie	T_AY1
ネクタイ	neck|tie	N_EH1_K|T_AY1
