アブストラクトアート	abstract|art	AE0_B_S_T_R_AE1_K_T|AA1_R_T
サッカーチーム	soccer|team	S_AA1_K_ER0|T_IY1_M
ソーシャルアクション	social|action	S_OW1_SH_AH0_L|AE1_K_SH_AH0_N
ソーシャルブレーン	social|brain	S_OW1_SH_AH0_L|B_R_EY1_N
ソーシャルブレーンズ	social|brains	S_OW1_SH_AH0_L|B_R_EY1_N_Z
ソーシャルケースワーク	social|casework	S_OW1_SH_AH0_L|K_EY1_S_W_ER2_K
ソーシャルケースワーカー	social|caseworker	S_OW1_SH_AH0_L|K_EY1_S_W_ER2_K_ER0
ソーシャルコスト	social|cost	S_OW1_SH_AH0_L|K_AA1_S_T
ソーシャルダンス	social|dance	S_OW1_SH_AH0_L|D_AE1_N_S
ソシアルダンス	social|dance	S_OW1_SH_AH0_L|D_AE1_N_S
ソーシャルディスタンス	social|distance	S_OW1_SH_AH0_L|D_IH1_S_T_AH0_N_S
ソーシャルディスタンシング	social|distancing	S_OW1_SH_AH0_L|D_IH1_S_T_AH0_N_S_IH0_NG
ソーシャルダンピング	social|dumping	S_OW1_SH_AH0_L|D_AH1_M_P_IH0_NG
ソーシャルエコロジー	social|ecology	S_OW1_SH_AH0_L|IH0_K_AA1_L_AH0_JH_IY0
ソーシャルエンジニアリング	social|engineering	S_OW1_SH_AH0_L|EH1_N_JH_AH0_N_IH1_R_IH0_NG
ソーシャルゲーム	social|game	S_OW1_SH_AH0_L|G_EY1_M
ソーシャルグループワーク	social|group|work	S_OW1_SH_AH0_L|G_R_UW1_P|W_ER1_K
ソーシャルハラスメント	social|harassment	S_OW1_SH_AH0_L|HH_ER0_AE1_S_M_AH0_N_T
ソーシャルメディア	social|media	S_OW1_SH_AH0_L|M_IY1_D_IY0_AH0
ソーシャルメディアハラスメント	social|media|harassment	S_OW1_SH_AH0_L|M_IY1_D_IY0_AH0|HH_ER0_AE1_S_M_AH0_N_T
ソーシャルネットワーキング	social|networking	S_OW1_SH_AH0_L|N_EH1_T_W_ER2_K_IH0_NG
ソーシャルネットワーキングサービス	social|networking|service	S_OW1_SH_AH0_L|N_EH1_T_W_ER2_K_IH0_NG|S_ER1_V_AH0_S
ソーシャルリクルーティング	social|recruiting	S_OW1_SH_AH0_L|R_AH0_K_R_UW1_T_IH0_NG
ソーシャルセキュリティー	social|security	S_OW1_SH_AH0_L|S_IH0_K_Y_UH1_R_AH0_T_IY0
ソーシャルサービス	social|service	S_OW1_SH_AH0_L|S_ER1_V_AH0_S
ソーシャルスキル	social|skill	S_OW1_SH_AH0_L|S_K_IH1_L
ソーシャルワーク	social|work	S_OW1_SH_AH0_L|W_ER1_K
ソーシャルワーカー	social|worker	S_OW1_SH_AH0_L|W_ER1_K_ER0
ソシアルワーカー	social|worker	S_OW1_SH_AH0_L|W_ER1_K_ER0
ソケットサービス	socket|service	S_AA1_K_AH0_T|S_ER1_V_AH0_S_AH0
ソケットレンチ	socket|wrench	S_AA1_K_AH0_T|R_EH1_N_CH
ソーダ	soda	S_OW1_D_AH0
ソーダブレッド	soda|bread	S_OW1_D_AH0|B_R_EH1_D
ソーダクラッカー	soda|cracker	S_OW1_D_AH0|K_R_AE1_K_ER0
ソーダフロート	soda|float	S_OW1_D_AH0|F_L_OW1_T
ソーダファウンテン	soda|fountain	S_OW1_D_AH0|F_AW1_N_T_AH0_N
ソーダパルプ	soda|pulp	S_OW1_D_AH0|P_AH1_L_P
ソジウム	sodium	S_OW1_D_IY0_AH0_M
ソファーベッド	sofa|bed	S_OW1_F_AH0|B_EH1_D
ソファベッド	sofa|bed	S_OW1_F_AH0|B_EH1_D
ソフトブラ	soft|bra	S_AA1_F_T|B_R_AA1
ソフトキャンディ	soft|candy	S_AA1_F_T|K_AE1_N_D_IY0
ソフトキャンディー	soft|candy	S_AA1_F_T|K_AE1_N_D_IY0
ソフトカラー	soft|collar	S_AA1_F_T|K_AA1_L_ER0
ソフトコンタクトレンズ	soft|contact|lens	S_AA1_F_T|K_AA1_N_T_AE2_K_T|L_EH1_N_Z
ソフトコピー	soft|copy	S_AA1_F_T|K_AA1_P_IY0
ソフトコーラル	soft|coral	S_AA1_F_T|K_AO1_R_AH0_L
ソフトカバー	soft|cover	S_AA1_F_T|K_AH1_V_ER0
ソフトクリーム	soft|cream	S_AA1_F_T|K_R_IY1_M
ソフトカレンシー	soft|currency	S_AA1_F_T|K_ER1_AH0_N_S_IY0
ソフトドリンク	soft|drink	S_AA1_F_T|D_R_IH1_NG_K
ソフトエネルギーパス	soft|energy|path	S_AA1_F_T|EH1_N_ER0_JH_IY0|P_AE1_TH
ソフトエラー	soft|error	S_AA1_F_T|EH1_R_ER0
ソフトフォーカス	soft|focus	S_AA1_F_T|F_OW1_K_AH0_S
ソフトフォント	soft|font	S_AA1_F_T|F_AA1_N_T
ソフトハイフン	soft|hyphen	S_AA1_F_T|HH_AY1_F_AH0_N
ソフトランディング	soft|landing	S_AA1_F_T|L_AE1_N_D_IH0_NG
ソフトローン	soft|loan	S_AA1_F_T|L_OW1_N
ソフトパッチ	soft|patch	S_AA1_F_T|P_AE1_CH
ソフトパワー	soft|power	S_AA1_F_T|P_AW1_ER0
ソフトリターン	soft|return	S_AA1_F_T|R_IH0_T_ER1_N
ソフトシャドウ	soft|shadow	S_AA1_F_T|SH_AE1_D_OW2
ソフトスキル	soft|skill	S_AA1_F_T|S_K_IH1_L
ソフトターゲット	soft|target	S_AA1_F_T|T_AA1_R_G_AH0_T
ソフトテニス	soft|tennis	S_AA1_F_T|T_EH1_N_AH0_S
ソフトタッチ	soft|touch	S_AA1_F_T|T_AH1_CH
ソフトビニール	soft|vinyl	S_AA1_F_T|V_AY1_N_AH0_L
ソフトウェアエンジニア	software|engineer	S_AO1_F_T_W_EH2_R|EH1_N_JH_AH0_N_IH1_R
ソフトウェアエンジニアリング	software|engineering	S_AO1_F_T_W_EH2_R|EH1_N_JH_AH0_N_IH1_R_IH0_NG
ソフトウェアガイド	software|guide	S_AO1_F_T_W_EH2_R|G_AY1_D
ソフトウェアハウス	software|house	S_AO1_F_T_W_EH2_R|HH_AW1_S
ソフトウエアハウス	software|house	S_AO1_F_T_W_EH2_R|HH_AW1_S
ソフトウェアキーボード	software|keyboard	S_AO1_F_T_W_EH2_R|K_IY1_B_AO2_R_D
ソフトウェアライセンス	software|license	S_AO1_F_T_W_EH2_R|L_AY1_S_AH0_N_S
ソフトウェアメーカ	software|maker	S_AO1_F_T_W_EH2_R|M_EY1_K_ER0
ソフトウェアメーカー	software|maker	S_AO1_F_T_W_EH2_R|M_EY1_K_ER0
ソフトウエアメーカ	software|maker	S_AO1_F_T_W_EH2_R|M_EY1_K_ER0
ソフトウエアメーカー	software|maker	S_AO1_F_T_W_EH2_R|M_EY1_K_ER0
ソフトウェアモデム	software|modem	S_AO1_F_T_W_EH2_R|M_OW1_D_AH0_M
ソフトウェアパッケージ	software|package	S_AO1_F_T_W_EH2_R|P_AE1_K_AH0_JH
ソフトウェアスクロール	software|scroll	S_AO1_F_T_W_EH2_R|S_K_R_OW1_L
ソイルセメント	soil|cement	S_OY1_L|S_AH0_M_EH1_N_T
ソーラーカー	solar|car	S_OW1_L_ER0|K_AA1_R
ソーラーカーレース	solar|car|race	S_OW1_L_ER0|K_AA1_R|R_EY1_S
ソーラーセル	solar|cell	S_OW1_L_ER0|S_EH1_L
ソーラーコレクター	solar|collector	S_OW1_L_ER0|K_AH0_L_EH1_K_T_ER0
ソーラーハウス	solar|house	S_OW1_L_ER0|HH_AW1_S
ソーラーパネル	solar|panel	S_OW1_L_ER0|P_AE1_N_AH0_L
ソーラープレーン	solar|plane	S_OW1_L_ER0|P_L_EY1_N
ソーラーポンド	solar|pond	S_OW1_L_ER0|P_AA1_N_D
ソーラーパワー	solar|power	S_OW1_L_ER0|P_AW1_ER0
ソーラーセール	solar|sail	S_OW1_L_ER0|S_EY1_L
ソーラーセイル	solar|sail	S_OW1_L_ER0|S_EY1_L
ソーラーシェアリング	solar|sharing	S_OW1_L_ER0|SH_EH1_R_IH0_NG
ソーラーシステム	solar|system	S_OW1_L_ER0|S_IH1_S_T_AH0_M
ソラリアム	solarium	S_AH0_L_EH1_R_IY0_AH0_M
ソリッドギター	solid|guitar	S_AA1_L_AH0_D|G_IH0_T_AA1_R
ソリッドモデル	solid|model	S_AA1_L_AH0_D|M_AA1_D_AH0_L
ソリッドタイヤ	solid|tire	S_AA1_L_AH0_D|T_AY1_ER0
ソリッドステート	solid-state	S_AA1_L_AH0_D_S_T_EY1_T
ソロアルバム	solo|album	S_OW1_L_OW2|AE1_L_B_AH0_M
ソロキャンプ	solo|camp	S_OW1_L_OW2|K_AE1_M_P
ソロデビュー	solo|debut	S_OW1_L_OW2|D_EY0_B_Y_UW1
ソリスト	soloist	S_OW1_L_OW2_AH0_S_T
ソリュブルコーヒー	soluble|coffee	S_AA1_L_Y_AH0_B_AH0_L|K_AA1_F_IY0
ソリューションプロバイダ	solution|provider	S_AA0_L_UW1_SH_AH0_N|P_R_AH0_V_AY1_D_ER0
ソルベンシーマージン	solvency|margin	S_AO1_L_V_AH0_N_S_IY0|M_AA1_R_JH_AH0_N
ソングポスト	song|post	S_AO1_NG|P_OW1_S_T
ソングライター	songwriter	S_AO1_NG_R_AY2_T_ER0
ソニックブーム	sonic|boom	S_AA1_N_IH0_K|B_UW1_M
ソートキー	sort|key	S_AO1_R_T|K_IY1
スーク	souk	S_UW1_K
ソウルフード	soul|food	S_OW1_L|F_UW1_D
ソウルジャズ	soul|jazz	S_OW1_L|JH_AE1_Z
ソールミュージック	soul|music	S_OW1_L|M_Y_UW1_Z_IH0_K
ソウルミュージック	soul|music	S_OW1_L|M_Y_UW1_Z_IH0_K
サウンドボード	sound|board	S_AW1_N_D|B_AO1_R_D
サウンドボディー	sound|body	S_AW1_N_D|B_AA1_D_IY0
サウンドボックス	sound|box	S_AW1_N_D|B_AA1_K_S
サウンドビジネス	sound|business	S_AW1_N_D|B_IH1_Z_N_AH0_S
サウンドカード	sound|card	S_AW1_N_D|K_AA1_R_D
サウンドクリップ	sound|clip	S_AW1_N_D|K_L_IH1_P
サウンドエフェクト	sound|effect	S_AW1_N_D|IH0_F_EH1_K_T
サウンドファイル	sound|file	S_AW1_N_D|F_AY1_L
サウンドインターフェース	sound|interface	S_AW1_N_D|IH1_N_T_ER0_F_EY2_S
サウンドロゴ	sound|logo	S_AW1_N_D|L_OW1_G_OW0
サウンドマン	sound|man	S_AW1_N_D|M_AE1_N
サウンドノベル	sound|novel	S_AW1_N_D|N_AA1_V_AH0_L
サウンドレンジ	sound|range	S_AW1_N_D|R_EY1_N_JH
サウンドスカルプチャー	sound|sculpture	S_AW1_N_D|S_K_AH1_L_P_CH_ER0
サウンドソース	sound|source	S_AW1_N_D|S_AO1_R_S
ソップ	soup	S_UW1_P
スープボウル	soup|bowl	S_UW1_P|B_OW1_L
スープカップ	soup|cup	S_UW1_P|K_AH1_P
スープスプーン	soup|spoon	S_UW1_P|S_P_UW1_N
スープストック	soup|stock	S_UW1_P|S_T_AA1_K
サワークリーム	sour|cream	S_AW1_ER0|K_R_IY1_M
ソースアーカイブ	source|archive	S_AO1_R_S|AA1_R_K_AY2_V
ソースコード	source|code	S_AO1_R_S|K_OW1_D
ソースドライブ	source|drive	S_AO1_R_S|D_R_AY1_V
ソースファイル	source|file	S_AO1_R_S|F_AY1_L
ソースイメージ	source|image	S_AO1_R_S|IH1_M_AH0_JH
ソースリスト	source|list	S_AO1_R_S|L_IH1_S_T
ソースモジュール	source|module	S_AO1_R_S|M_AO1_JH_UW0_L
ソースプログラム	source|program	S_AO1_R_S|P_R_OW1_G_R_AE2_M
ソースルート	source|route	S_AO1_R_S|R_UW1_T
ソースルーティング	source|routing	S_AO1_R_S|R_AW1_T_IH0_NG
ソーストラヒック	source|traffic	S_AO1_R_S|T_R_AE1_F_IH0_K
サウスブリッジ	south|bridge	S_AW1_TH|B_R_IH1_JH
サウスカロライナ	south|carolina	S_AW1_TH|K_EH2_R_AH0_L_AY1_N_AH0
サウスダコタ	south|dakota	S_AW1_TH|D_AH0_K_OW1_T_AH0
サザンクロス	southern|cross	S_AH1_DH_ER0_N|K_R_AO1_S
サザンロック	southern|rock	S_AH1_DH_ER0_N|R_AA1_K
サザンソウル	southern|soul	S_AH1_DH_ER0_N|S_OW1_L
スーベニアショップ	souvenir|shop	S_UW2_V_AH0_N_IH1_R|SH_AA1_P
ソブリンローン	sovereign|loan	S_AA1_V_R_AH0_N|L_OW1_N
ソイミート	soy|meat	S_OY1|M_IY1_T
ソイソース	soy|sauce	S_OY1|S_AO1_S
スパリゾート	spa|resort	S_P_AA1|R_IH0_Z_AO1_R_T
スパゲッティーボロネーゼ	spaghetti|bolognese	S_P_AH0_G_EH1_T_IY0|B_OW0_L_OW0_NG_EH1_Z_IY0
スパゲッティボロネーゼ	spaghetti|bolognese	S_P_AH0_G_EH1_T_IY0|B_OW0_L_OW0_NG_EH1_Z_IY0
スパゲティーボロネーゼ	spaghetti|bolognese	S_P_AH0_G_EH1_T_IY0|B_OW0_L_OW0_NG_EH1_Z_IY0
スパゲティボロネーゼ	spaghetti|bolognese	S_P_AH0_G_EH1_T_IY0|B_OW0_L_OW0_NG_EH1_Z_IY0
スパゲッティコード	spaghetti|code	S_P_AH0_G_EH1_T_IY0|K_OW1_D
スパゲッティーミートソース	spaghetti|meat|sauce	S_P_AH0_G_EH1_T_IY0|M_IY1_T|S_AO1_S
スパゲッティミートソース	spaghetti|meat|sauce	S_P_AH0_G_EH1_T_IY0|M_IY1_T|S_AO1_S
スパゲティーミートソース	spaghetti|meat|sauce	S_P_AH0_G_EH1_T_IY0|M_IY1_T|S_AO1_S
スパゲティミートソース	spaghetti|meat|sauce	S_P_AH0_G_EH1_T_IY0|M_IY1_T|S_AO1_S
スパゲッティウエスタン	spaghetti|western	S_P_AH0_G_EH1_T_IY0|W_EH1_S_T_ER0_N
スパゲティウエスタン	spaghetti|western	S_P_AH0_G_EH1_T_IY0|W_EH1_S_T_ER0_N
スパムフィルター	spam|filter	S_P_AE1_M|F_IH1_L_T_ER0
スパムメール	spam|mail	S_P_AE1_M|M_EY1_L
スパンオブコントロール	span|of|control	S_P_AE1_N|AH1_V|K_AH0_N_T_R_OW1_L
スパニッシュアメリカ	spanish|america	S_P_AE1_N_IH0_SH|AH0_M_EH1_R_IH0_K_AH0
スパニッシュフライ	spanish|fly	S_P_AE1_N_IH0_SH|F_L_AY1
スパニングツリー	spanning|tree	S_P_AE1_N_IH0_NG|T_R_IY1
スパークプラグ	spark|plug	S_P_AA1_R_K|P_L_AH1_G
スパークリングワイン	sparkling|wine	S_P_AA1_R_K_L_IH0_NG|W_AY1_N
スパーリングパートナー	sparring|partner	S_P_AA1_R_IH0_NG|P_AA1_R_T_N_ER0
スピーカーユニット	speaker|unit	S_P_IY1_K_ER0|Y_UW1_N_AH0_T
スピアフィッシング	spear|fishing	S_P_IH1_R|F_IH1_SH_IH0_NG
スピーチコンテスト	speech|contest	S_P_IY1_CH|K_AA1_N_T_EH0_S_T
スピーチセラピスト	speech|therapist	S_P_IY1_CH|TH_EH1_R_AH0_P_IH0_S_T
スピーチセラピー	speech|therapy	S_P_IY1_CH|TH_EH1_R_AH0_P_IY0
スピードボール	speed|ball	S_P_IY1_D|B_AO2_L
スピードブレーキ	speed|brake	S_P_IY1_D|B_R_EY1_K
スピードバンプ	speed|bump	S_P_IY1_D|B_AH1_M_P
スピードダウン	speed|down	S_P_IY1_D|D_AW1_N
スピードラーニング	speed|learning	S_P_IY1_D|L_ER1_N_IH0_NG
スピードリミット	speed|limit	S_P_IY1_D|L_IH1_M_AH0_T
スピードプレー	speed|play	S_P_IY1_D|P_L_EY1
スピードスケート	speed|skate	S_P_IY1_D|S_K_EY1_T
スピードスプレーヤー	speed|sprayer	S_P_IY1_D|S_P_R_EY1_ER0
スピードアップ	speed|up	S_P_IY1_D|AH1_P
スフィンクス	sphinx	S_F_IH1_NG_K_S
スパイスカレー	spice|curry	S_P_AY1_S|K_AH1_R_IY0
スパイシースパイス	spicy|spice	S_P_AY1_S_IY0|S_P_AY1_S
スパイダーウェブ	spider|web	S_P_AY1_D_ER0|W_EH1_B
スパイクヒール	spike|heel	S_P_AY1_K|HH_IY1_L
スパイクシューズ	spike|shoes	S_P_AY1_K|SH_UW1_Z
スパイクタイヤ	spike|tire	S_P_AY1_K|T_AY1_ER0
スパイキーカット	spiky|cut	S_P_AY1_K_IY0|K_AH1_T
スピンアウト	spin|out	S_P_IH1_N|AW1_T
スピンターン	spin|turn	S_P_IH1_N|T_ER1_N
スピナーシャーク	spinner|shark	S_P_IH1_N_ER0|SH_AA1_R_K
スピニングリール	spinning|reel	S_P_IH1_N_IH0_NG|R_IY1_L
スプラッシュスクリーン	splash|screen	S_P_L_AE1_SH|S_K_R_IY1_N
スプラッタームービー	splatter|movie	S_P_L_AE1_T_ER0|M_UW1_V_IY0
スプラッタムービー	splatter|movie	S_P_L_AE1_T_ER0|M_UW1_V_IY0
スプリットフィンガーファーストボール	split|finger|fast|ball	S_P_L_IH1_T|F_IH1_NG_G_ER0|F_AE1_S_T|B_AO1_L
スプリットタイム	split|time	S_P_L_IH1_T|T_AY1_M
スポイルズシステム	spoils|system	S_P_OY1_L_Z|S_IH1_S_T_AH0_M
スポークレンチ	spoke|wrench	S_P_OW1_K|R_EH1_N_CH
スポークンタイトル	spoken|title	S_P_OW1_K_AH0_N|T_AY1_T_AH0_L
スポンジボール	sponge|ball	S_P_AH1_N_JH|B_AO1_L
スポンジケーキ	sponge|cake	S_P_AH1_N_JH|K_EY1_K
スプーンレース	spoon|race	S_P_UW1_N|R_EY1_S
スポーツクライミング	sport|climbing	S_P_AO1_R_T|K_L_AY1_M_IH0_NG
スポーツコンパクト	sport|compact	S_P_AO1_R_T|K_AA1_M_P_AE0_K_T
スポーツアナウンサー	sports|announcer	S_P_AO1_R_T_S|AH0_N_AW1_N_S_ER0
スポーツバッグ	sports|bag	S_P_AO1_R_T_S|B_AE1_G
スポーツブラ	sports|bra	S_P_AO1_R_T_S|B_R_AA1
スポーツカー	sports|car	S_P_AO1_R_T_S|K_AA1_R
スポーツセンター	sports|center	S_P_AO1_R_T_S|S_EH1_N_T_ER0
スポーツドリンク	sports|drink	S_P_AO1_R_T_S|D_R_IH1_NG_K
スポーツイベント	sports|event	S_P_AO1_R_T_S|IH0_V_EH1_N_T
スポーツフェアー	sports|fair	S_P_AO1_R_T_S|F_EH1_R
スポーツファン	sports|fan	S_P_AO1_R_T_S|F_AE1_N
スポーツフェスティバル	sports|festival	S_P_AO1_R_T_S|F_EH1_S_T_AH0_V_AH0_L
スポーツジム	sports|gym	S_P_AO1_R_T_S|JH_IH1_M
スポーツマーケティング	sports|marketing	S_P_AO1_R_T_S|M_AA1_R_K_AH0_T_IH0_NG
スポーツプログラマー	sports|programmer	S_P_AO1_R_T_S|P_R_OW1_G_R_AE2_M_ER0
スポーツサイエンス	sports|science	S_P_AO1_R_T_S|S_AY1_AH0_N_S
スポーツシャツ	sports|shirtss	S_P_AO1_R_T_S|SH_ER1_T_S
スポーツシューズ	sports|shoes	S_P_AO1_R_T_S|SH_UW1_Z
スポーツテスト	sports|test	S_P_AO1_R_T_S|T_EH1_S_T
スポーツトレーナー	sports|trainer	S_P_AO1_R_T_S|T_R_EY1_N_ER0
スポーティブ	sportive	S_P_AO1_R_T_IY0_V
スポットアド	spot|ad	S_P_AA1_T|AE1_D
スポットアナウンス	spot|announce	S_P_AA1_T|AH0_N_AW1_N_S
スポットチェック	spot|check	S_P_AA1_T|CH_EH1_K
スポットカラー	spot|color	S_P_AA1_T|K_AH1_L_ER0
スポットコマーシャル	spot|commercial	S_P_AA1_T|K_AH0_M_ER1_SH_AH0_L
スポットニュース	spot|news	S_P_AA1_T|N_UW1_Z
スポッテッドガー	spotted|gar	S_P_AA1_T_IH0_D|G_AA1_R
スポッテッドスキャット	spotted|scat	S_P_AA1_T_IH0_D|S_K_AE1_T
スプレッドシートプログラム	spreadsheet|program	S_P_R_EH1_D_SH_IY2_T|P_R_OW1_G_R_AE2_M
スプリングキャンプ	spring|camp	S_P_R_IH1_NG|K_AE1_M_P
スプリングコート	spring|coat	S_P_R_IH1_NG|K_OW1_T
スプリントカー	sprint|car	S_P_R_IH1_N_T|K_AA1_R
スプリントレース	sprint|race	S_P_R_IH1_N_T|R_EY1_S
スプロケットフィード	sprocket|feed	S_P_R_AA1_K_AH0_T|F_IY1_D
エスキューエルサーバ	sql|server	EH2_S_K_Y_UW2_EH1_L|S_ER1_V_ER0
スコール	squall	S_K_W_AO1_L
スクウェアダンス	square|dance	S_K_W_EH1_R|D_AE1_N_S
スクエアダンス	square|dance	S_K_W_EH1_R|D_AE1_N_S
スクエアネック	square|neck	S_K_W_EH1_R|N_EH1_K
スクエアポジション	square|position	S_K_W_EH1_R|P_AH0_Z_IH1_SH_AH0_N
スクエアスタンス	square|stance	S_K_W_EH1_R|S_T_AE1_N_S
スクイズバント	squeeze|bunt	S_K_W_IY1_Z|B_AH1_N_T
スクイズプレー	squeeze|play	S_K_W_IY1_Z|P_L_EY1
スクイズプレイ	squeeze|play	S_K_W_IY1_Z|P_L_EY1
スタックヒール	stack|heel	S_T_AE1_K|HH_IY1_L
スタックハブ	stack|hub	S_T_AE1_K|HH_AH1_B
スタックポインタ	stack|pointer	S_T_AE1_K|P_OY1_N_T_ER0
スタックセグメント	stack|segment	S_T_AE1_K|S_EH1_G_M_AH0_N_T
スタックトレース	stack|trace	S_T_AE1_K|T_R_EY1_S
スタッキングチェア	stacking|chair	S_T_AE1_K_IH0_NG|CH_EH1_R
スタディオン	stadium	S_T_EY1_D_IY0_AH0_M
スタッフルーム	staff|room	S_T_AE1_F|R_UW1_M
スタッグパーティー	stag|party	S_T_AE1_G|P_AA1_R_T_IY0
ステージダンス	stage|dance	S_T_EY1_JH|D_AE1_N_S
ステインドグラス	stained|glass	S_T_EY1_N_D|G_L_AE1_S
ステンドグラス	stained|glass	S_T_EY1_N_D|G_L_AE1_S
ステンレススチール	stainless|steel	S_T_EY1_N_L_AH0_S|S_T_IY1_L
スタンプコレクション	stamp|collection	S_T_AE1_M_P|K_AH0_L_EH1_K_SH_AH0_N
スタンプハンマー	stamp|hammer	S_T_AE1_M_P|HH_AE1_M_ER0
スタンプミル	stamp|mill	S_T_AE1_M_P|M_IH1_L
スタンドカラー	stand|collar	S_T_AE1_N_D|K_AA1_L_ER0
スタンドプレー	stand|play	S_T_AE1_N_D|P_L_EY1
スタンドプレイ	stand|play	S_T_AE1_N_D|P_L_EY2
スタンドレスリング	stand|wrestling	S_T_AE1_N_D|R_EH1_S_L_IH0_NG
スタンダードモード	standard|mode	S_T_AE1_N_D_ER0_D|M_OW1_D
スタンダードナンバー	standard|number	S_T_AE1_N_D_ER0_D|N_AH1_M_B_ER0
スタンダードテスト	standard|test	S_T_AE1_N_D_ER0_D|T_EH1_S_T
スタンダードバージョン	standard|version	S_T_AE1_N_D_ER0_D|V_ER1_ZH_AH0_N
スタンドバイクレジット	standby|credit	S_T_AE1_N_D_B_AY1|K_R_EH1_D_AH0_T
スタンバイファイル	standby|file	S_T_AE1_N_D_B_AY1|F_AY1_L
スタンディングスタート	standing|start	S_T_AE1_N_D_IH0_NG|S_T_AA1_R_T
スタンダップコメディー	stand-up|comedy	S_T_AE1_N_D_AH2_P|K_AA1_M_AH0_D_IY0
ステープルファイバー	staple|fiber	S_T_EY1_P_AH0_L|F_AY1_B_ER0
スターアニス	star|anise	S_T_AA1_R|AE1_N_AH0_S
スターガイド	star|guide	S_T_AA1_R|G_AY1_D
スターキング	star|king	S_T_AA1_R|K_IH1_NG
スターネットワーク	star|network	S_T_AA1_R|N_EH1_T_W_ER2_K
スタープレーヤー	star|player	S_T_AA1_R|P_L_EY1_ER0
スタープレイヤー	star|player	S_T_AA1_R|P_L_EY1_ER0
スターサファイア	star|sapphire	S_T_AA1_R|S_AE1_F_AY0_ER0
スターシステム	star|system	S_T_AA1_R|S_IH1_S_T_AH0_M
スタートラッカ	star|tracker	S_T_AA1_R|T_R_AE1_K_ER0
スタートラッカー	star|tracker	S_T_AA1_R|T_R_AE1_K_ER0
スターウォッチング	star|watching	S_T_AA1_R|W_AA1_CH_IH0_NG
スターズアンドストライプス	stars|and|stripes	S_T_AA1_R_Z|AH0_N_D|S_T_R_AY1_P_S
スタートビット	start|bit	S_T_AA1_R_T|B_IH1_T
スタートライン	start|line	S_T_AA1_R_T|L_AY1_N
スターターキット	starter|kit	S_T_AA1_R_T_ER0|K_IH1_T
スターターピストル	starter|pistol	S_T_AA1_R_T_ER0|P_IH1_S_T_AH0_L
スターティングブロック	starting|block	S_T_AA1_R_T_IH0_NG|B_L_AA1_K
スターティングラインアップ	starting|lineup	S_T_AA1_R_T_IH0_NG|L_AY1_N_AH2_P
スターティングメンバー	starting|member	S_T_AA1_R_T_IH0_NG|M_EH1_M_B_ER0
スターティングピッチャー	starting|pitcher	S_T_AA1_R_T_IH0_NG|P_IH1_CH_ER0
スタートアップディスク	startup|disk	S_T_AA1_R_T_AH2_P|D_IH1_S_K
スタートアップスクリーン	startup|screen	S_T_AA1_R_T_AH2_P|S_K_R_IY1_N
ステートアマチュア	state|amateur	S_T_EY1_T|AE1_M_AH0_CH_ER2
スタティックメモリ	static|memory	S_T_AE1_T_IH0_K|M_EH1_M_ER0_IY0
スタティックプラグアンドプレイ	static|plug|and|play	S_T_AE1_T_IH0_K|P_L_AH1_G|AH0_N_D|P_L_EY1
スタティックラム	static|ram	S_T_AE1_T_IH0_K|R_AE1_M
スタティックランダムアクセスメモリ	static|random|access|memory	S_T_AE1_T_IH0_K|R_AE1_N_D_AH0_M|AE1_K_S_EH2_S|M_EH1_M_ER0_IY0
ステーションブレーク	station|break	S_T_EY1_SH_AH0_N|B_R_EY1_K
ステーションブレイク	station|break	S_T_EY1_SH_AH0_N|B_R_EY1_K
ステーションコール	station|call	S_T_EY1_SH_AH0_N|K_AO1_L
ステーションワゴン	station|wagon	S_T_EY1_SH_AH0_N|W_AE1_G_AH0_N
ステーショナリーバイク	stationary|bike	S_T_EY1_SH_AH0_N_EH2_R_IY0|B_AY1_K
ステータスバー	status|bar	S_T_AE1_T_AH0_S|B_AA1_R
ステータスインジケータ	status|indicator	S_T_AE1_T_AH0_S|IH1_N_D_AH0_K_EY2_T_ER0
ステータスレジスタ	status|register	S_T_AE1_T_AH0_S|R_EH1_JH_IH0_S_T_ER0
ステータスシンボル	status|symbol	S_T_AE1_T_AH0_S|S_IH1_M_B_AH0_L
ステーバー	stay|bar	S_T_EY1|B_AA1_R
ステイホーム	stay|home	S_T_EY1|HH_OW1_M
ステルスマーケティング	stealth|marketing	S_T_EH1_L_TH|M_AA1_R_K_AH0_T_IH0_NG
スチームバス	steam|bath	S_T_IY1_M|B_AE1_TH
スチームエンジン	steam|engine	S_T_IY1_M|EH1_N_JH_AH0_N
スチームハンマー	steam|hammer	S_T_IY1_M|HH_AE1_M_ER0
スチームヒーター	steam|heater	S_T_IY1_M|HH_IY1_T_ER0
スチームアイロン	steam|iron	S_T_IY1_M|AY1_ER0_N
スチームローラー	steam|roller	S_T_IY1_M|R_OW1_L_ER0
スチームタービン	steam|turbine	S_T_IY1_M|T_ER1_B_AY0_N
スチールバンド	steel|band	S_T_IY1_L|B_AE1_N_D
スチールカン	steel|can	S_T_IY1_L|K_AE1_N
スチールカラー	steel|collar	S_T_IY1_L|K_AA1_L_ER0
スチールドラム	steel|drum	S_T_IY1_L|D_R_AH1_M
スチールファイル	steel|file	S_T_IY1_L|F_AY1_L
スチールグレー	steel|gray	S_T_IY1_L|G_R_EY1
