ア=ー=カ=イ=バ=ル=ファ=イ=ル	AA0=R=K_A=Y1=V_AH0=L=F_A=Y1=L
オ=ン=ラ=イ=ン=マ=ニュ=ア=ル	AO1=N=L_A=Y2=N=M_AE1=N=Y_U=W0=AH0=L
オ=ン=ラ=イ=ン=ミ=ー=ティ=ン=グ	AO1=N=L_A=Y2=N=M_I=Y1=T_IH0=N=G
オ=ン=リ=ー=ワ=ン	O=W1=N=L_I=Y0=W_AH1=N
カ=ー=カ=ー	K_AO1=K_AO1
カ=ー=ショッ=プ	K_AA1=R=SH_AA1=P
カ=ー=ジャッ=ク	K_AA1=R=JH_AE2=K
カ=ー=ソ=ル=キ=ー	K_E=R1=S_E=R0=K_I=Y1=Z
カ=ー=ト=レ=ー=ン	K_AA1=R=T=R_E=Y1=N
カ=ー=ト=レ=イ=ン	K_AA1=R=T=R_E=Y1=N
カ=ー=ド=キ=ー	K_I=Y1=K_AA1=R=D
カ=ー=ド=モ=デ=ル	K_AA1=R=D=M_AA1=D_AH0=L
カ=ー=プ=ー=ル	K_AA1=R=P_U=W1=L
カ=ー=ボ=ン=ヒ=ー=タ=ー	K_AA1=R=B_AH0=N=HH_I=Y1=T_E=R0
カ=ー=ボ=ン=ファ=イ=バ=ー	K_AA1=R=B_AH0=N=F_A=Y1=B_E=R0
カ=ー=マ=ニ=ア	K_AA1=R=M_E=Y1=N_I=Y0=AH0
カ=イ=マ=ン	K_E=Y1=M_AH0=N
カ=ウ=チ=ポ=テ=ト	K_A=W1=CH=P_AH0=T_E=Y1=T_O=W2
カ=ウ=ン=タ=ー=チェ=ア	K_A=W1=N=T_E=R0=CH_EH1=R
カ=カ=オ=ニ=ブ	K_AH0=K_E=Y1=O=W0=N_IH1=B=Z
カ=カ=オ=バ=タ=ー	K_O=W1=K_O=W0=B_AH1=T_E=R0
カ=カ=オ=マ=ス	K_AH0=K_E=Y1=O=W0=M_AE1=S
カ=ス=ク	K_AE1=S=K
カ=ス=タ=マ=ー=エ=ン=ジ=ニ=ア	K_AH1=S=T_AH0=M_E=R0=EH1=N=JH_AH0=N_IH1=R
カ=ス=タ=マ=ー=ハ=ラ=ス=メ=ン=ト	K_AH1=S=T_AH0=M_E=R0=HH_E=R0=AE1=S=M_AH0=N=T
カ=ス=タ=マ=エ=ン=ジ=ニ=ア	K_AH1=S=T_AH0=M_E=R0=EH1=N=JH_AH0=N_IH1=R
カ=ス=タ=ム=カ=ー	K_AH1=S=T_AH0=M=K_AA1=R
カ=ス=タ=ム=カ=ラ=ー	K_AH1=S=T_AH0=M=K_AH1=L_E=R0
カ=ス=タ=ム=コ=ミュ=ニ=ケ=ー=ショ=ン	K_AH1=S=T_AH0=M=K_AH0=M=Y_U=W2=N_AH0=K_E=Y1=SH_AH0=N
カ=ス=タ=ム=チッ=プ	K_AH1=S=T_AH0=M=CH_IH1=P
カ=ス=バ	K_AE1=S=B_AH0
カ=タ=ロ=グ	K_AE1=T_AH0=L_AO0=G
カ=タ=ロ=グ=ショッ=ピ=ン=グ	K_AE1=T_AH0=L_AO0=G=SH_AA1=P_IH0=N=G
カッ=ト=ガ=ラ=ス	K_AH1=T=G=L_AE1=S
カッ=ト=ハ=ウ=ス	B=Y_U=W1=T_I=Y0=HH_A=W1=S
カッ=パ	K_AE1=P_AH0
カッ=フェ	K_AH0=F_E=Y1
カッ=フェ=ー	K_AH0=F_E=Y1
カッ=プ=ア=イ=ス	K_AH1=P=A=Y1=S
カッ=プ=イ=ン	K_AH1=P=AH1=P
カッ=プ=ケ=ー=キ	K_AH1=P=K_E=Y2=K
カッ=プ=ル=プ=ラ=ン	K_AH1=P_AH0=L=P=L_AE1=N
カ=バ	K_AA1=V_AH0
カ=バ=ー=ス=ト=ー=リ=ー	K_AH1=V_E=R0=S=T_AO1=R_I=Y0
カ=バ=ー=レ=タ=ー	K_AH1=V_E=R0=L_EH1=T_E=R0
カ=ビ=ア	K_AE1=V_I=Y0=AA2=R
カ=フェ	K_AH0=F_E=Y1
カ=フェ=ー	K_AH0=F_E=Y1
カ=フェ=イ=ン=レ=ス	K_AE0=F_I=Y1=N=L_EH1=S
カ=フェ=テ=ラ=ス	K_AH0=F_E=Y1=T_EH1=R_AH0=S
カ=フェ=ラッ=テ	K_AH0=F_E=Y1=L_AA1=T_E=Y2
カ=フェ=ラ=テ	K_AH0=F_E=Y1=L_AA1=T_E=Y2
カ=フェ=ロ=ワ=イ=ヤ=ル	K_AH0=F_E=Y1=R_O=Y1=AH0=L
カ=プ=セ=ル=ト=イ	K_AE1=P=S_AH0=L=T_O=Y1
カ=ヤ	K_AA1=Y_AH0
カ=ラ=ー=ア=レ=ン=ジ=メ=ン=ト	K_AH1=L_E=R0=E=R0=E=Y1=N=JH=M_AH0=N=T
カ=ラ=ー=イ=ン=ク	K_AH1=L_E=R0=D=IH1=N=G=K
カ=ラ=ー=ガ=ー=ド	K_AH1=L_E=R0=G_AA1=R=D
カ=ラ=ー=コ=ー=ディ=ネ=ー=タ=ー	K_AH1=L_E=R0=K_O=W0=AO1=R=D_AH0=N_E=Y2=T_E=R0
カ=ラ=ー=コ=ー=ン	T=R_AE1=F_IH0=K=K_O=W1=N
カ=ラ=ー=コ=ピ=ー	K_AH1=L_E=R0=K_AA1=P_I=Y0
カ=ラ=ー=コ=ン=タ=ク=ト=レ=ン=ズ	K_AH1=L_E=R0=D=K_AA1=N=T_AE2=K=T=L_EH1=N=Z
カ=ラ=ー=コ=ン=ディ=ショ=ニ=ン=グ	K_AH1=L_E=R0=K_AH0=N=D_IH1=SH_AH0=N_IH0=N=G
カ=ラ=ー=コ=ン=ビ=ネ=ー=ショ=ン	K_AH1=L_E=R0=K_AA2=M=B_AH0=N_E=Y1=SH_AH0=N
カ=ラ=ー=シャ=ツ	K_AH1=L_E=R0=D=SH_E=R1=T
カ=ラ=ー=ス=キ=ー=ム	K_AH1=L_E=R0=S=K_I=Y1=M
カ=ラ=ー=ダ=イ=ナ=ミッ=ク=ス	K_AH1=L_E=R0=D_A=Y0=N_AE1=M_IH0=K=S
カ=ラ=ー=ディ=ス=プ=レ=ー	K_AH1=L_E=R0=D_IH0=S=P=L_E=Y1
カ=ラ=ー=ド=ス=ト=ー=ン	K_AH1=L_E=R0=D=S=T_O=W1=N
カ=ラ=ー=バ=ー	K_AH1=L_E=R0=B_AA1=R=Z
カ=ラ=ー=バ=リ=エ=ー=ショ=ン	K_AH1=L_E=R0=V_EH2=R_I=Y0=E=Y1=SH_AH0=N
カ=ラ=ー=プ=ラ=ン=ニ=ン=グ	K_AH1=L_E=R0=P=L_AE1=N_IH0=N=G
カ=ラ=ー=ボ=ー=ル	K_AH1=L_E=R0=D=B_AO1=L
カ=ラ=ー=マ=ー=カ=ー	K_AH1=L_E=R0=M_AA1=R=K_E=R0
カ=ラ=ー=モ=ー=ド	K_AH1=L_E=R0=M_O=W1=D
カ=ラ=ー=リ=ン=ス	K_AH1=L_E=R0=R_IH1=N=S
カ=ラ=オ=ケ=ボッ=ク=ス	K_EH2=R_I=Y0=O=W1=K_I=Y0=B_AA1=K=S
カ=ル=チャ=ー=ス=ク=ー=ル	K_AH1=L=CH_E=R0=AH0=L=S_EH1=N=T_E=R0
カ=ル=チャ=ー=セ=ン=タ=ー	K_AH1=L=CH_E=R0=AH0=L=S_EH1=N=T_E=R0
カ=ル=チャ=ー=ツ=ア=ー	K_AH1=L=CH_E=R0=AH0=L=T_UH1=R
カ=レ=ー	K_AH1=R_I=Y0
カ=レ=ー=ラ=イ=ス	K_AH1=R_I=Y0=R_A=Y1=S
カ=レ=ン=ト=ル=ー=プ	K_E=R1=AH0=N=T=L_U=W1=P
カ=ロ=リ=ー=オ=フ	K_AE1=L_AO0=R_I=Y2=AO1=F
カ=ロ=リ=ー=フ=リ=ー	K_AE1=L_AO0=R_I=Y2=F=R_I=Y1
カ=ヴァ	K_AA1=V_AH0
ガ=ー=リッ=ク=ト=ー=ス=ト	G_AA1=R=L_IH0=K=T_O=W1=S=T
ガ=ー=ル=ズ=バ=ン=ド	G_E=R1=L=B_AE1=N=D
ガ=ー=ル=ハ=ン=ト	G_E=R1=L=HH_AH1=N=T
ガ=ー=ル=フ=レ=ン=ド	G_E=R1=L=F=R_EH1=N=D
ガ=ー=ン	B_U=W1=M
ガ=ス=カ=ー=ボ=ン	G_AE1=S=K_AA1=R=B_AH0=N
ガ=ス=ス=ト=ー=ブ	G_AE1=S=S=T_O=W1=V
ガ=ス=タ=ン=ク	G_AE1=S=T_AE1=N=G=K
ガ=ス=テ=ー=ブ=ル	G_AE1=S=T_E=Y1=B_AH0=L
ガ=ス=バ=ー=ナ=ー	G_AE1=S=B_E=R1=N_E=R0
ガ=ソ=リ=ン=エ=ン=ジ=ン	G_AE1=S_AH0=L_I=Y2=N=EH1=N=JH_AH0=N
ガ=ソ=リ=ン=カ=ー	G_AE1=S_AH0=L_I=Y2=N=K_AA1=R
ガ=ソ=リ=ン=ス=タ=ン=ド	G_AE1=S=S=T_AE1=N=D
ガ=バ=ー=ジ=ン	G_AE1=B_E=R0=D_I=Y2=N
ガ=ム=シ=ロ	G_AH1=M=S_E=R1=AH0=P
ガ=ム=シ=ロッ=プ	G_AH1=M=S_E=R1=AH0=P
ガ=ン=ク=ラ=ブ=チェッ=ク	G_AH1=N=K=L_AH1=B=CH_EH1=K
キ=ー=ア=ド=バ=イ=ザ=ー	K_I=Y1=AE0=D=V_A=Y1=Z_E=R0
キ=ー=ケ=ー=ス	K_I=Y1=K_E=Y1=S
キ=ー=ス=テ=ー=ショ=ン	K_I=Y1=S=T_E=Y1=SH_AH0=N
キ=ー=パ=ー=ソ=ン	K_I=Y1=P_E=R1=S_AH0=N
キ=ー=パ=ン=チ	K_I=Y1=P_AH1=N=CH
キ=ー=プ=レ=ー=ト	K_I=Y1=P=L_E=Y1=T
キ=ー=ホ=ル=ダ=ー	K_I=Y1=HH_O=W1=L=D_E=R0
キ=ー=ポ=イ=ン=ト	K_I=Y1=P_O=Y1=N=T
キ=ー=マ=ン	K_I=Y1=M_AE1=N
キ=ス=ア=ン=ド=ク=ラ=イ	K_IH1=S=AH0=N=D=K=R_A=Y1
キ=ス=シ=ー=ン	K_IH1=S=S_I=Y1=N
キ=ス=フ=レ=ン=ド	K_IH1=S=F=R_EH1=N=D
キ=ス=マ=ー=ク	K_IH1=S=M_AA1=R=K
キッ=ク=ス=ケ=ー=タ=ー	K_IH1=K=S=K_U=W1=T_E=R0
キッ=ク=ボ=ー=ド	K_IH1=K=S=K_U=W1=T_E=R0
キ=ド=ニ=ー=グ=リ=ル	K_IH1=D=N_I=Y0=G=R_IH1=L
キ=ネ=シ=オ=テ=ー=プ	K_IH2=N_IH0=S_I=Y2=AA1=L_AH0=JH_I=Y0=T_E=Y1=P
キ=ネ=シ=オ=ロ=ジ=ー=テ=ー=プ	K_IH2=N_IH0=S_I=Y2=AA1=L_AH0=JH_I=Y0=T_E=Y1=P
キャッ=シュ=オ=ン=デ=リ=バ=リ=ー	K_AE1=SH=AA1=N=D_IH0=L_IH1=V_E=R0=I=Y0
キャッ=シュ=カ=ー=ド	K_AE1=SH=K_AA1=R=D
キャッ=シュ=サ=ー=ビ=ス=コ=ー=ナ=ー	K_AE1=SH=S_E=R1=V_AH0=S=K_AO1=R=N_E=R0
キャッ=シュ=マ=シ=ン	K_AE1=SH=M_AH0=SH_I=Y1=N
キャッ=チ=ボ=ー=ル	K_AE1=CH=B_AO1=L
キャッ=チ=ラ=イ=ト	K_AE1=CH=L_A=Y1=T
キャッ=ト=カ=フェ	K_AE1=T=K_AH0=F_E=Y1
キャッ=ト=ニッ=プ	K_AE1=T=N_IH1=P
キャッ=ト=ファ=イ=ト	K_AE1=T=F_A=Y1=T
キャッ=ト=ボ=ン=ド	K_AE1=T=B_AA1=N=D
キャ=ディ	K_AE1=D_I=Y0
キャ=ディ=ー	K_AE1=D_I=Y0
キャ=ディ=ー=バッ=グ	K_AE1=D_I=Y0=B_AE1=G
キャ=ノ=ン=ショッ=ト	K_AE1=N_AH0=N=SH_AA1=T
キャ=バ=レ=ー=ク=ラ=ブ	HH_O=W1=S=T_AH0=S=K=L_AH1=B
キャ=ビ=ン=ア=テ=ン=ダ=ン=ト	K_AE1=B_AH0=N=AH0=T_EH1=N=D_AH0=N=T
キャ=フェ	K_AH0=F_E=Y1
キャ=ブ=シャ=ー=シ	K_AE1=B=CH_AE1=S_I=Y0
キャ=ブ=シャ=シ=ー	K_AE1=B=CH_AE1=S_I=Y0
キャ=ブ=タ=イ=ヤ=ケ=ー=ブ=ル	K_AE1=B=T_A=Y1=E=R0=K_E=Y1=B_AH0=L
キャ=プ=ス=ロッ=ク=キ=ー	K_AE1=P=S=L_AA1=K=K_I=Y1
キャ=プ=チャ=ー=ボ=ー=ド	K_AE1=P=CH_E=R0=B_AO1=R=D
キャ=プ=チャ=ボ=ー=ド	K_AE1=P=CH_E=R0=B_AO1=R=D
キャ=プ=テ=ン=シ=ス=テ=ム	K_AE1=P=T_AH0=N=S_IH1=S=T_AH0=M
キャ=ラ=ク=タ=ー=ソ=ン=グ	K_EH1=R_IH0=K=T_E=R0=S_AO1=N=G
キャ=ラ=ク=タ=ー=ビ=ジ=ネ=ス	K_EH1=R_IH0=K=T_E=R0=B_IH1=Z=N_AH0=S
キャ=ラ=メ=リ=ゼ	K_EH1=R_AH0=M_AH0=L_A=Y2=Z=D
キャ=リ=ー=ケ=ー=ス	K_AE1=R_I=Y0=K_E=Y1=S
キャ=リ=ー=バッ=グ	K_AE1=R_I=Y0=B_AE1=G
キャ=リ=ア=アッ=プ	K_E=R0=IH1=R=AH1=P
キャ=リ=ア=オ=イ=ル	K_AE1=R_I=Y0=E=R0=O=Y1=L
キャ=リ=ア=カ=ー	K_AE1=R_I=Y0=E=R0=K_AA1=R
キャ=リ=ア=ディ=テ=ク=ト	K_AE1=R_I=Y0=E=R0=D_IH0=T_EH1=K=T
キャ=ロ=ム	K_AE1=N_AH0=N
キャ=ロ=ム=ショッ=ト	K_AE1=N_AH0=N=SH_AA1=T
キャ=ン=ド=ル=サ=ー=ビ=ス	K_AE1=N=D_AH0=L=S_E=R1=V_AH0=S
キャ=ン=パ=ス=ラ=イ=フ	K_AE1=M=P_AH0=S=L_A=Y1=F
キャ=ン=ピ=ン=グ=カ=ー	M_O=W1=B_AH0=L=K_AA1=R
キャ=ン=ピ=ン=グ=ト=レ=ー=ラ=ー	K_AE1=M=P_IH0=N=G=T=R_E=Y1=L_E=R0
キ=ラ=ー=ア=プ=リ	K_IH1=L_E=R0=AE1=P
キ=ラ=ー=ア=プ=リ=ケ=ー=ショ=ン	K_IH1=L_E=R0=AE2=P=L_AH0=K_E=Y1=SH_AH0=N
キ=ラ=ー=コ=ン=テ=ン=ツ	K_IH1=L_E=R0=K_AA1=N=T_EH0=N=T
キ=ラ=ー=チュ=ー=ン	HH_IH1=T=S_AO1=N=G
キ=ラ=ー=ロ=ボッ=ト	K_IH1=L_E=R0=R_O=W1=B_AA2=T
キ=ン=カ=ン	K_AH1=M=K=W_AA0=T
ギ=タ=ー=シ=ン=セ=サ=イ=ザ=ー	G_IH0=T_AA1=R=S_IH1=N=TH_AH0=S_A=Y2=Z_E=R0
ギ=フ=ト=カ=ー=ド	G_IH1=F=T=K_AA1=R=D
ギ=フ=ト=チェッ=ク	G_IH1=F=T=CH_EH1=K
ギ=ブ=ア=ン=ド=テ=ー=ク	G_IH1=V=AH0=N=D=T_E=Y1=K
ギ=ブ=ア=ン=ド=テ=イ=ク	G_IH1=V=AH0=N=D=T_E=Y1=K
ギ=ブ=ス	JH_IH1=P=S_AH0=M
ギ=プ=ス	JH_IH1=P=S_AH0=M
ギャ=グ=マ=ン	G_AE1=G=M_AE1=N
ギャッ=プ=イ=ヤ=ー	G_AE1=P=Y_IH1=R
ギャ=ン=グ=エ=ー=ジ	G_AE1=N=G=E=Y1=JH
ギャ=ン=グ=エ=イ=ジ	G_AE1=N=G=E=Y1=JH
ギュ=ル=デ=ン	G_IH1=L=D_E=R0
ク=ー=デ=タ	K_U=W1=D_EH2=T_AA1
ク=ー=デ=タ=ー	K_U=W1=D_EH2=T_AA1
ク=ー=ラ=ー=ボッ=ク=ス	K_U=W1=L_E=R0=B_AA1=K=S
ク=ー=ル	K_U=W1=L
ク=ー=ル=ビ=ズ	K_U=W1=L=B_IH1=Z
ク=ー=ロ=ン	K=R_AA1=N
ク=イ=ー=ン=サ=イ=ズ	K=W_I=Y1=N=S_A=Y1=Z
ク=イッ=ク=ブ=レッ=ド	K=W_IH1=K=B=R_EH1=D
ク=イッ=ク=モ=ー=ショ=ン	K=W_IH1=K=M_O=W1=SH_AH0=N
ク=イッ=ク=ル=ワ=イ=パ=ー	K=W_IH1=K=S=W_I=Y1=P_E=R0
クォ=ー=テ=ー=ショ=ン=マ=ー=ク	K=W_O=W0=T_E=Y1=SH_AH0=N=M_AA1=R=K=S
ク=オ=ー=テ=ー=ショ=ン=マ=ー=ク	K=W_O=W0=T_E=Y1=SH_AH0=N=M_AA1=R=K=S
クッ=キ=ン=グ=シ=ー=ト	K_UH1=K_IH0=N=G=SH_I=Y1=T
クッ=ショ=ン=ボ=ー=ル	K_UH1=SH_AH0=N=B_AO1=L
ク=ラ=ウ=チ=ン=グ=ス=タ=イ=ル	K=R_A=W1=CH_IH0=N=G=S=T_A=Y1=L
ク=ラ=ウ=ン=エ=ー=テ=ル	K=R_A=W1=N=I=Y1=TH_E=R0
ク=ラ=ウ=ン=ト=ビ=ー	K=L_A=W1=N=T_O=W1=B_I=Y0
ク=ラ=ブ=フ=ロ=ア	K=L_AH1=B=F=L_AO1=R
ク=リ=ー=ム=ソ=ー=ダ	K=R_I=Y1=M=S_O=W1=D_AH0
ク=リ=ー=ム=パ=ウ=ダ=ー	K=R_I=Y1=M=P_A=W1=D_E=R0
ク=リ=ー=ン=ヒ=ー=タ=ー	K=L_I=Y1=N=HH_I=Y1=T_E=R0
ク=リ=ー=ン=ル=ー=ム	K=L_I=Y1=N=R_U=W1=M
ク=リ=ア=ビ=ジョ=ン	K=L_IH1=R=V_IH1=ZH_AH0=N
ク=リ=ア=ファ=イ=ル	K=L_IH1=R=F_A=Y1=L
ク=リ=ス=タ=ル=ガ=ラ=ス	K=R_IH1=S=T_AH0=L=G=L_AE1=S
ク=リ=ス=タ=ル=グ=ラ=ス	K=R_IH1=S=T_AH0=L=G=L_AE1=S
ク=リ=ス=マ=ス=ケ=ー=キ	K=R_IH1=S=M_AH0=S=K_E=Y1=K
ク=リ=ス=マ=ス=ソ=ン=グ	K=R_IH1=S=M_AH0=S=S_AO1=N=G
ク=リッ=ク=ア=ン=ド=モ=ル=タ=ル	K=L_IH1=K=AH0=N=D=M_AO1=R=T_E=R0
ク=リッ=ク=ベ=イ=ト	K=L_IH1=K=B_E=Y2=T
ク=リ=ニ=カ=ル=パ=ス	K=L_IH1=N_AH0=K_AH0=L=P_AE1=TH
ク=ル=ア=ー=ン	K_AO0=R_AA1=N
ク=レ=ー=ト=ト=レ=ー=ニ=ン=グ	K=R_E=Y1=T=T=R_E=Y1=N_IH0=N=G
ク=レ=ー=ン=ゲ=ー=ム	K=R_E=Y1=N=G_E=Y1=M
ク=レ=ジッ=ト=デ=フォ=ル=ト=ス=ワッ=プ	K=R_EH1=D_AH0=T=D_IH0=F_AO1=L=T=S=W_AA1=P
ク=レ=ム=リ=ン	K=R_EH1=M=L_AH0=N
ク=レ=リッ=ク=シャ=ツ	K=L_EH1=R_IH0=K=SH_E=R1=T
ク=ロ=コ=ダ=イ=ル=モ=ニ=タ=ー	K=R_AA1=K_AH0=D_A=Y2=L=M_AA1=N_AH0=T_E=R0
ク=ロ=ス=カ=ン=ト=リ=ー	K=R_AO1=S=K_AH2=N=T=R_I=Y0
ク=ロ=ス=セ=ル	K=R_AO1=S=S_EH1=L
ク=ロ=ス=プ=レ=イ	K=L_O=W1=S=P=L_E=Y1
ク=ロ=ス=ボ=ー=ル	K=R_AO1=S=B_AO1=L
ク=ロッ=ク=パ=ル=ス	K=L_AA1=K=P_AH1=L=S
グッ=モ=ー=ニ=ン	G_UH1=D=M_AO1=R=N_IH0=N=G
グッ=モ=ー=ニ=ン=グ	G_UH1=D=M_AO1=R=N_IH0=N=G
グ=ラ=ス=ウ=ー=ル	G=L_AE1=S=W_UH1=L
グ=ラ=ス=ス=キ=ー	G=R_AE1=S=S=K_I=Y1
グ=ラ=ス=ノ=ス=チ	G=L_AE1=S=N_AA0=S=T
グ=ラ=ス=ファ=イ=バ=ー	G=L_AE1=S=F_A=Y1=B_E=R0
グ=ラ=ス=リ=ス=ト	G=R_AE1=S=L_IH1=S=T
グ=ラ=ス=ル=ー=ツ	G=R_AE1=S=R_U=W1=T=S
グ=ラ=ス=ロッ=ド	G=L_AE1=S=R_AA1=D
グ=ラ=デ=ー=ショ=ン=カッ=ト	G=R_E=Y0=D_E=Y1=SH_AH0=N=K_AH1=T
グ=ラ=デ=ー=ショ=ン=カ=ラ=ー	G=R_E=Y0=D_E=Y1=SH_AH0=N=K_AH1=L_E=R0
グ=ラ=フィ=カ=ル=カ=ー=ネ=ル=シ=ス=テ=ム	G=R_AE1=F_IH0=K_AH0=L=K_E=R1=N_AH0=L=S_IH1=S=T_AH0=M
グ=ラ=フィ=カ=ル=ユ=ー=ザ=ー=イ=ン=タ=ー=フェ=ー=ス	G=R_AE1=F_IH0=K_AH0=L=Y_U=W1=Z_E=R0=IH1=N=T_E=R0=F_E=Y2=S
グ=ラ=フィ=カ=ル=ユ=ー=ザ=ー=イ=ン=タ=ー=フェ=イ=ス	G=R_AE1=F_IH0=K_AH0=L=Y_U=W1=Z_E=R0=IH1=N=T_E=R0=F_E=Y2=S
グ=ラ=フィ=カ=ル=ユ=ー=ザ=イ=ン=タ=フェ=ー=ス	G=R_AE1=F_IH0=K_AH0=L=Y_U=W1=Z_E=R0=IH1=N=T_E=R0=F_E=Y2=S
グ=ラ=フィッ=ク=イ=コ=ラ=イ=ザ=ー	G=R_AE1=F_IH0=K=I=Y1=K=W_AH0=L_A=Y2=Z_E=R0
グ=ラ=フィッ=ク=カ=ー=ド	G=R_AE1=F_IH0=K=S=K_AA1=R=D
グ=ラ=フィッ=ク=ス=カ=ー=ド	G=R_AE1=F_IH0=K=S=K_AA1=R=D
グ=ラ=フィッ=ク=ス=プ=ロ=セ=シ=ン=グ=ユ=ニッ=ト	G=R_AE1=F_IH0=K=S=P=R_AA1=S_EH0=S_IH0=N=G=Y_U=W1=N_AH0=T
グ=ラ=フィッ=ク=ス=ボ=ー=ド	G=R_AE1=F_IH0=K=S=B_AO1=R=D
グ=ラ=フィッ=ク=ス=ワ=ー=ク=ス=テ=ー=ショ=ン	G=R_AE1=F_IH0=K=S=W_E=R1=K=S=T_E=Y2=SH_AH0=N
グ=ラ=フィッ=ク=ソ=フ=ト	G=R_AE1=F_IH0=K=S=S_AO1=F=T
グ=ラ=フィッ=ク=ソ=フ=ト=ウェ=ア	G=R_AE1=F_IH0=K=S=S_AO1=F=T=W_EH2=R
グ=ラ=フィッ=ク=ディ=ス=プ=レ=ー	G=R_AE1=F_IH0=K=D_IH0=S=P=L_E=Y1
グ=ラ=フィッ=ク=フィ=ル=タ	G=R_AE1=F_IH0=K=F_IH1=L=T_E=R0
グ=ラ=フィッ=ク=ボ=ー=ド	G=R_AE1=F_IH0=K=B_AO1=R=D
グ=ラ=マ=ー=ガ=ー=ル	G=L_AE1=M_E=R0=G_E=R1=L
グ=ラ=マ=ー=ス=トッ=ク	G=L_AE1=M_E=R0=S=T_AA1=K
グ=ラ=ン=トゥ=ー=リ=ズ=モ	G=R_AE1=N=T_UH1=R_IH0=S=M_O=W0
グ=ラ=ン=トゥ=リ=ズ=モ	G=R_AE1=N=T_UH1=R_IH0=S=M_O=W0
グ=リ=ー=ン=カ=ー=テ=ン	G=R_I=Y1=N=K_E=R1=T_AH0=N
グ=リ=ー=ン=カ=ー=ド	G=R_I=Y1=N=K_AA1=R=D
グ=リ=ー=ン=ジョ=ブ	G=R_I=Y1=N=JH_AA1=B
グ=リ=ー=ン=ファ=イ=ヤ=ー=テ=ト=ラ	G=R_I=Y1=N=F_A=Y1=E=R0=T_EH1=T=R_AH0
グ=リ=ー=ン=ベ=ル=ト	G=R_I=Y1=N=B_EH1=L=T
グ=リ=ー=ン=マ=ン	G=R_I=Y1=N=M_AE1=N
グ=リ=セ=リ=ン	G=L_IH1=S_E=R0=O=W2=L
グ=リ=ル=ド=チ=ー=ズ=サ=ン=ド	G=R_IH1=L=D=CH_I=Y1=Z=S_AE1=N=D=W_IH0=CH
グ=リ=ル=ド=チ=ー=ズ=サ=ン=ド=イッ=チ	G=R_IH1=L=D=CH_I=Y1=Z=S_AE1=N=D=W_IH0=CH
グ=ル=ー=プ=ウィ=ン=ド=ウ	G=R_U=W1=P=W_IH1=N=D_O=W0
グ=ル=ー=プ=チャッ=ト	G=R_U=W1=P=CH_AE1=T
グ=ル=ー=プ=ボッ=ク=ス	G=R_U=W1=P=B_AA1=K=S
グ=ル=テ=ン=フ=リ=ー	G=L_U=W1=T_AH0=N=F=R_I=Y1
グ=ル=テ=ン=ミ=ー=ト	G=L_U=W1=T_AH0=N=M_I=Y1=T
グ=ル=デ=ン	G=L_U=W1=T_AH0=N
グ=ル=メ=バ=ー=ガ=ー	G_UH1=R=M_E=Y2=B_E=R1=G_E=R0
グ=ル=ル	G=R_A=W1=L
グ=レ=ー=エ=リ=ア	G=R_E=Y1=EH1=R_I=Y0=AH0
グ=レ=ー=ゾ=ー=ン	G=R_E=Y1=Z_O=W1=N
グ=レ=ー=ド=アッ=プ	AH0=P=G=R_E=Y1=D
グ=レ=ー=マ=ー=ケッ=ト	G=R_E=Y1=M_AA1=R=K_AH0=T
グ=レ=ー=ン=ウ=イ=ス=キ=ー	G=R_E=Y1=N=W_IH1=S=K_I=Y0
グ=レ=イ=エ=リ=ア	G=R_E=Y1=EH1=R_I=Y0=AH0
グ=レ=イ=ン=ウ=イ=ス=キ=ー	G=R_E=Y1=N=W_IH1=S=K_I=Y0
グ=レ=コ=ロ=ー=マ=ン=ス=タ=イ=ル	G=R_EH2=K_O=W0=R_O=W1=M_AH0=N=S=T_A=Y1=L
グ=ロ=ー=バ=ル=ス=タ=ン=ダ=ー=ド	G=L_O=W1=B_AH0=L=S=T_AE1=N=D_E=R0=D
グ=ロ=ー=ブ=ボッ=ク=ス	G=L_AH1=V=B_AA1=K=S
ケ=ー=キ=ド=ー=ナ=ツ	K_E=Y1=K=D_O=W1=N_AH2=T
ケ=ー=ゲ=ル	K_EH1=JH_AH0=L
ケ=ー=ス=ア=ー=ス	K_E=Y1=S=E=R1=TH
ケ=ー=ス=ファ=ン	K_E=Y1=S=F_AE1=N
ケ=ー=タ=リ=ン=グ=カ=ー	K_E=Y1=T_E=R0=IH0=N=G=K_AA1=R
ケ=ー=ブ=ル=カ=ー	K_E=Y1=B_AH0=L=K_AA1=R
ケ=ー=ブ=ル=キッ=ト	K_E=Y1=B_AH0=L=K_IH1=T
ケ=ア=ハ=ウ=ス	K_EH1=R=HH_A=W1=S
ケ=ア=ワ=ー=カ=ー	K_EH1=R=W_E=R1=K_E=R0
ケ=ミ=カ=ル=ピ=ー=リ=ン=グ	K_EH1=M_IH0=K_AH0=L=P_I=Y1=L_IH0=N=G
ケ=ミ=カ=ル=ラ=イ=ト	K_EH1=M_IH0=K_AH0=L=L_A=Y1=T
ケ=ル=ン	K_EH1=R=N
ゲ=ー=ト=ル	G_E=Y1=T_E=R0
ゲ=ー=ム=セッ=ト	G_E=Y1=M=S_EH1=T
ゲ=ー=ム=セ=ン=タ=ー	G_E=Y1=M=S_EH1=N=T_E=R0
